,date,open,close,low,ma5,ma10,ma20,KDJ.K,KDJ.D,KDJ.J,kdjgt,kdjup,both,earning,stoploss_point,stoploss,earning_with_stoploss
212, 2015/04/15,4439.31,4380.51,4379.61,4369.3,4282.15,4117.325,87.872,91.341,80.934,True,True,True,-1490.669,3773.4135,-665.8965,-665.8965
213, 2015/04/14,4432.13,4438.18,4385.91,4352.3,4249.2,4086.15,93.529,93.075,94.436,True,True,True,-1470.799,3767.3105,-664.8195,-664.8195
214, 2015/04/13,4394.05,4421.07,4361.59,4316.6,4214.2,4049.5,94.525,92.849,97.878,True,True,True,-1492.999,3734.9425,-659.1075,-659.1075
215, 2015/04/10,4249.38,4344.42,4231.2,4266.6,4169.25,4009.35,93.176,92.01,95.507,True,False,False,0.0,3611.973,0.0,0.0
216, 2015/04/09,4316.96,4262.14,4212.61,4222.6,4129.8,3971.75,90.795,91.428,89.529,True,True,True,-1463.199,3669.416,-647.544,-647.544
217, 2015/04/08,4277.45,4295.8,4204.83,4195.0,4097.65,3934.9,94.961,91.744,101.396,True,True,True,-1347.099,3635.8325,-641.6175,-641.6175
218, 2015/04/07,4213.89,4260.04,4197.02,4146.1,4065.4,3896.15,93.532,90.135,100.325,True,True,True,-1273.379,3581.8065,-632.0835,-632.0835
219, 2015/04/03,4104.669,4170.54,4092.379,4111.8,4036.6,3860.025,90.356,88.437,94.195,True,False,False,0.0,3488.96865,0.0,0.0
220, 2015/04/02,4149.949,4124.779,4068.649,4071.9,4008.75,3825.4,85.538,87.477,81.66,True,False,False,0.0,3527.45665,0.0,0.0
221, 2015/04/01,4057.5,4123.899,4046.939,4037.0,3980.3,3794.0,85.613,88.447,79.946,True,False,False,0.0,3448.875,0.0,0.0
222, 2015/03/31,4138.879,4051.199,4037.769,4000.3,3952.5,3764.35,84.733,89.864,74.47,True,True,True,-964.498,3518.04715,-620.83185,-620.83185
223, 2015/03/30,3999.019,4088.179,3999.019,3984.7,3923.1,3737.2,93.211,92.429,94.775,True,False,False,0.0,3399.16615,0.0,0.0
224, 2015/03/27,3957.539,3971.699,3932.869,3961.4,3884.8,3712.825,91.811,92.038,91.355,True,False,False,0.0,3363.90815,0.0,0.0
225, 2015/03/26,3921.749,3949.999,3892.879,3945.6,3849.45,3692.9,91.577,92.152,90.427,True,True,True,-803.018,3333.48665,-588.26235,-588.26235
226, 2015/03/25,3961.579,3940.409,3913.989,3923.6,3813.7,3673.7,93.028,92.44,94.203,True,True,True,-740.008,3367.34215,-594.23685,-594.23685
227, 2015/03/24,3980.069,3973.049,3883.779,3904.7,3772.15,3650.625,95.799,92.146,103.105,True,True,True,-824.188,3383.05865,-597.01035,-597.01035
228, 2015/03/23,3923.079,3972.059,3922.209,3861.5,3726.9,3628.075,95.553,90.319,106.02,True,True,True,-707.368,3334.61715,-588.46185,-588.46185
229, 2015/03/20,3852.489,3892.569,3832.419,3808.2,3683.45,3604.45,93.355,87.702,104.66,True,True,True,-660.038,3274.61565,-577.87335,-577.87335
230, 2015/03/19,3851.249,3839.739,3809.709,3753.3,3642.05,3583.325,93.032,84.876,109.344,True,True,True,-489.688,3273.56165,-577.68735,-577.68735
231, 2015/03/18,3769.089,3846.049,3763.849,3703.8,3607.7,3563.475,91.744,80.798,113.634,True,True,True,-474.708,3203.72565,-565.36335,-565.36335
232, 2015/03/17,3733.959,3757.119,3716.809,3639.6,3576.2,3542.875,87.615,75.325,112.195,True,True,True,-194.148,3173.86515,-560.09385,-560.09385
233, 2015/03/16,3641.769,3705.669,3621.119,3592.3,3551.3,3525.375,82.213,69.181,108.277,True,True,True,-162.988,3095.50365,-546.26535,-546.26535
234, 2015/03/13,3604.669,3617.659,3594.739,3558.7,3540.85,3507.4,73.331,62.664,94.665,True,True,True,-135.598,3063.96865,-540.70035,-540.70035
235, 2015/03/12,3557.689,3592.839,3536.529,3530.8,3536.35,3492.125,65.296,57.331,81.227,True,False,False,0.0,3024.03565,0.0,0.0
236, 2015/03/11,3524.569,3524.649,3512.219,3511.6,3533.7,3480.85,52.089,53.348,49.571,True,False,False,0.0,2995.88365,0.0,0.0
237, 2015/03/10,3523.639,3520.609,3511.989,3512.8,3529.1,3474.675,50.111,53.978,42.376,True,False,False,0.0,2995.09315,0.0,0.0
238, 2015/03/09,3449.699,3537.749,3417.489,3510.3,3529.25,3470.525,48.2,55.911,32.776,True,False,False,0.0,2932.24415,0.0,0.0
239, 2015/03/06,3501.179,3478.519,3472.389,3523.0,3525.45,3461.35,40.851,59.767,3.017,True,False,False,0.0,2976.00215,0.0,0.0
240, 2015/03/05,3513.249,3496.339,3467.679,3541.9,3524.6,3459.15,54.146,69.226,23.986,True,False,False,0.0,2986.26165,0.0,0.0
241, 2015/03/04,3514.669,3530.819,3497.169,3555.8,3519.25,3458.4,68.22,76.766,51.127,True,False,False,0.0,2987.46865,0.0,0.0
242, 2015/03/03,3579.309,3507.899,3504.199,3545.4,3509.55,3458.125,77.191,81.039,69.494,True,True,True,297.421,3042.41265,-536.89635,-536.89635
243, 2015/03/02,3603.449,3601.259,3566.529,3548.2,3499.45,3461.475,90.604,82.963,105.884,True,True,True,262.512,3062.93165,-540.51735,-540.51735
244, 2015/02/27,3565.229,3572.839,3560.459,3527.9,3473.95,3461.825,87.735,79.143,104.919,True,True,True,202.682,3030.44465,-534.78435,-534.78435
245, 2015/02/26,3473.709,3566.289,3456.869,3507.3,3447.9,3461.75,85.906,74.847,108.023,True,True,True,282.182,2952.65265,-521.05635,-521.05635
246, 2015/02/25,3529.549,3478.729,3463.959,3482.7,3428.0,3461.825,79.42,69.318,99.625,True,True,True,155.891,3000.11665,-529.43235,-529.43235
247, 2015/02/17,3511.539,3522.319,3511.089,3473.7,3420.25,3465.325,80.707,64.267,113.589,True,True,True,182.851,2984.80815,-526.73085,-526.73085
248, 2015/02/16,3473.289,3499.479,3466.609,3450.7,3411.8,3459.05,73.951,56.046,109.76,True,True,True,238.032,2952.29565,-520.99335,-520.99335
249, 2015/02/13,3458.829,3469.829,3452.079,3420.0,3397.25,3451.825,63.167,47.094,95.314,True,True,True,149.232,2940.00465,-518.82435,149.232
250, 2015/02/12,3435.359,3442.869,3405.629,3388.5,3393.7,3460.075,53.623,39.057,82.755,True,True,True,187.722,2920.05515,-515.30385,187.722
251, 2015/02/11,3415.979,3434.119,3412.139,3373.3,3397.55,3468.15,41.593,31.774,61.23,True,True,True,219.962,2903.58215,-512.39685,219.962
252, 2015/02/10,3345.079,3406.939,3339.549,3366.8,3406.7,3471.55,29.933,26.865,36.07,True,False,False,0.0,2843.31715,0.0,0.0
253, 2015/02/09,3305.729,3345.919,3298.599,3372.9,3423.5,3476.9,18.397,25.331,4.53,True,False,False,0.0,2809.86965,0.0,0.0
254, 2015/02/06,3352.329,3312.419,3285.939,3374.5,3449.7,3485.3,17.511,28.797,-5.063,True,False,False,0.0,2849.47965,0.0,0.0
255, 2015/02/05,3487.949,3366.949,3366.859,3398.9,3475.6,3497.0,22.258,34.441,-2.108,True,False,False,0.0,2964.75665,0.0,0.0
256, 2015/02/04,3446.139,3401.769,3399.559,3421.8,3495.65,3506.625,29.696,40.532,8.023,True,False,False,0.0,2929.21815,0.0,0.0
257, 2015/02/03,3388.599,3437.449,3360.719,3446.6,3510.4,3518.725,34.803,45.95,12.508,True,False,False,0.0,2880.30915,0.0,0.0
258, 2015/02/02,3360.189,3353.959,3347.079,3474.1,3506.3,3528.9,36.109,51.524,5.279,True,False,False,0.0,2856.16065,0.0,0.0
259, 2015/01/30,3496.889,3434.389,3431.939,3524.9,3506.4,3543.275,52.938,59.231,40.351,True,False,False,0.0,2972.35565,0.0,0.0
260, 2015/01/29,3474.919,3481.799,3453.899,3552.3,3526.45,3548.25,61.416,62.378,59.493,True,True,True,284.512,2953.68115,-521.23785,-521.23785
261, 2015/01/28,3547.239,3525.319,3512.389,3569.5,3538.75,3547.05,66.288,62.859,73.147,True,True,True,234.372,3015.15315,-532.08585,-532.08585
262, 2015/01/27,3614.039,3574.929,3510.019,3574.2,3536.4,3543.55,69.766,61.144,87.01,True,True,True,139.852,3071.93315,-542.10585,-542.10585
263, 2015/01/26,3580.119,3607.989,3559.379,3538.5,3530.3,3537.075,67.611,56.833,89.168,True,True,True,173.222,3043.10115,-537.01785,-537.01785
264, 2015/01/23,3582.089,3571.729,3548.629,3487.9,3520.9,3523.45,59.466,51.444,75.511,True,True,True,192.292,3044.77565,-537.31335,-537.31335
265, 2015/01/22,3551.049,3567.609,3520.049,3500.6,3518.4,3506.4,52.637,47.433,63.046,True,False,False,0.0,3018.39165,0.0,0.0
266, 2015/01/21,3420.489,3548.889,3409.429,3508.0,3517.6,3494.275,43.006,44.831,39.356,True,False,False,0.0,2907.41565,0.0,0.0
267, 2015/01/20,3336.789,3396.219,3325.679,3498.6,3527.05,3486.55,33.854,45.743,10.075,True,False,False,0.0,2836.27065,0.0,0.0
268, 2015/01/19,3414.01,3355.159,3330.979,3522.1,3551.5,3485.875,41.093,51.688,19.904,True,True,True,350.121,2901.9085,-512.1015,350.121
269, 2015/01/16,3616.25,3635.149,3601.26,3553.9,3580.15,3485.425,58.27,56.985,60.839,True,False,False,0.0,3073.8125,0.0,0.0
270, 2015/01/15,3501.72,3604.12,3482.27,3536.2,3570.05,3471.7,49.356,56.343,35.382,True,False,False,0.0,2976.462,0.0,0.0
271, 2015/01/14,3522.91,3502.42,3471.56,3527.2,3555.35,3456.65,42.777,59.836,8.659,True,False,False,0.0,2994.4735,0.0,0.0
272, 2015/01/13,3506.449,3514.04,3494.77,3555.5,3550.7,3442.425,53.645,68.366,24.203,True,False,False,0.0,2980.48165,0.0,0.0
273, 2015/01/12,3531.509,3513.579,3461.319,3580.9,3543.85,3426.375,63.301,75.726,38.449,True,False,False,0.0,3001.78265,0.0,0.0
274, 2015/01/09,3547.569,3546.719,3536.399,3606.4,3526.0,3409.825,75.977,81.939,64.052,True,False,False,0.0,3015.43365,0.0,0.0
275, 2015/01/08,3650.069,3559.259,3552.099,3603.9,3494.4,3393.575,84.125,84.92,82.534,True,True,True,55.902,3102.55865,-547.51035,-547.51035
276, 2015/01/07,3620.919,3643.789,3601.699,3583.5,3470.95,3370.95,89.753,85.318,98.624,True,True,True,7.622,3077.78115,-543.13785,-543.13785
277, 2015/01/06,3608.429,3641.059,3587.229,3545.9,3446.05,3351.425,88.616,83.1,99.647,True,True,True,-142.938,3067.16465,-541.26435,-541.26435
278, 2015/01/05,3566.089,3641.539,3551.509,3506.8,3420.25,3325.6,87.186,80.343,100.872,True,True,True,-90.128,3031.17565,-534.91335,-534.91335
279, 2014/12/31,3462.389,3533.709,3452.5,3445.6,3390.7,3298.75,83.64,76.921,97.079,True,True,True,71.692,2943.03065,-519.35835,71.692
280, 2014/12/30,3450.809,3457.549,3422.169,3384.9,3373.35,3270.425,76.68,73.562,82.917,True,True,True,82.502,2933.18765,-517.62135,82.502
281, 2014/12/29,3502.179,3455.459,3405.839,3358.4,3357.95,3243.75,74.956,72.002,80.865,True,True,True,22.742,2976.85215,-525.32685,-525.32685
282, 2014/12/26,3343.639,3445.839,3335.009,3346.2,3334.15,3211.975,72.682,70.525,76.997,True,False,False,0.0,2842.09315,0.0,0.0
283, 2014/12/25,3254.479,3335.419,3226.319,3333.7,3308.9,3180.125,60.78,69.447,43.447,True,False,False,0.0,2766.30715,0.0,0.0
284, 2014/12/24,3332.149,3230.389,3188.499,3335.8,3293.65,3151.075,60.373,73.78,33.559,True,False,False,0.0,2832.32665,0.0,0.0
285, 2014/12/23,3358.799,3324.919,3316.909,3361.8,3292.75,3125.7,76.599,80.484,68.829,True,True,True,165.732,2854.97915,-503.81985,165.732
286, 2014/12/22,3396.249,3394.479,3357.659,3357.5,3270.95,3093.75,85.784,82.426,92.5,True,True,True,77.002,2886.81165,-509.43735,77.002
287, 2014/12/19,3345.629,3383.169,3280.919,3322.1,3256.8,3056.475,86.324,80.747,97.479,True,True,True,232.072,2843.78465,-501.84435,232.072
288, 2014/12/18,3359.089,3345.929,3322.229,3284.1,3230.95,3016.5,81.553,77.958,88.742,True,True,True,175.092,2855.22565,-503.86335,175.092
289, 2014/12/17,3325.819,3360.599,3275.739,3251.5,3206.8,2976.05,79.449,76.161,86.026,True,False,False,0.0,2826.94615,0.0,0.0
290, 2014/12/16,3221.359,3303.399,3207.689,3223.7,3167.5,2934.9,72.796,74.517,69.354,True,False,False,0.0,2738.15515,0.0,0.0
291, 2014/12/15,3176.829,3217.229,3143.299,3184.4,3129.55,2896.775,69.271,75.378,57.057,True,False,False,0.0,2700.30465,0.0,0.0
292, 2014/12/12,3182.919,3193.229,3167.929,3191.5,3089.8,2864.275,71.842,78.431,58.664,True,False,False,0.0,2705.48115,0.0,0.0
293, 2014/12/11,3185.159,3183.009,3158.439,3177.8,3051.35,2833.675,74.437,81.725,59.861,True,False,False,0.0,2707.38515,0.0,0.0
294, 2014/12/10,3120.209,3221.549,3058.189,3162.1,3008.5,2803.5,79.205,85.37,66.877,True,False,False,0.0,2652.17765,0.0,0.0
295, 2014/12/09,3233.099,3106.909,3074.519,3111.3,2958.65,2772.15,81.649,88.452,68.045,True,True,True,63.382,2748.13415,-484.96485,63.382
296, 2014/12/08,3108.269,3252.879,3075.698,3074.7,2916.55,2744.725,93.465,91.853,96.69,True,True,True,94.682,2642.02865,-466.24035,94.682
297, 2014/12/05,3143.969,3124.889,3011.939,2988.1,2856.15,2710.375,91.748,91.046,93.151,True,True,True,34.882,2672.37365,-471.59535,34.882
298, 2014/12/04,2975.399,3104.349,2968.879,2924.9,2802.05,2679.25,94.046,90.696,100.745,True,True,True,267.352,2529.08915,-446.30985,267.352
299, 2014/12/03,2936.119,2967.549,2912.249,2854.9,2745.3,2649.325,91.122,89.021,95.325,True,True,True,295.833,2495.70115,-440.41785,295.833
300, 2014/12/02,2807.339,2923.939,2804.289,2806.0,2702.3,2626.125,92.773,87.97,102.38,True,True,True,477.663,2386.23815,-421.10085,477.663
301, 2014/12/01,2825.609,2819.809,2808.649,2758.4,2664.0,2605.575,91.599,85.568,103.66,True,True,True,437.422,2401.76765,-423.84135,437.422
302, 2014/11/28,2753.929,2808.819,2740.369,2724.2,2638.75,2590.2,92.74,82.553,113.113,True,True,True,585.102,2340.83965,-413.08935,585.102
303, 2014/11/27,2737.029,2754.489,2718.699,2679.2,2616.0,2575.2,89.235,77.46,112.786,True,True,True,571.222,2326.47465,-410.55435,571.222
304, 2014/11/26,2695.259,2723.019,2690.309,2635.7,2598.5,2560.925,83.853,71.572,108.413,True,True,True,556.012,2290.97015,-404.28885,556.012
305, 2014/11/25,2650.079,2685.559,2643.839,2598.6,2585.65,2547.35,75.864,65.432,96.727,True,True,True,586.922,2252.56715,-397.51185,586.922
306, 2014/11/24,2614.159,2649.259,2602.939,2569.6,2572.9,2533.875,63.949,60.216,71.414,True,False,False,0.0,2222.03515,0.0,0.0
307, 2014/11/21,2537.539,2583.459,2530.029,2553.3,2564.6,2519.875,52.278,58.35,40.136,True,False,False,0.0,2156.90815,0.0,0.0
308, 2014/11/20,2528.779,2537.099,2522.839,2552.8,2556.45,2510.225,45.201,61.385,12.833,True,False,False,0.0,2149.46215,0.0,0.0
309, 2014/11/19,2538.229,2537.219,2531.319,2561.3,2553.35,2503.175,56.537,69.477,30.657,True,False,False,0.0,2157.49465,0.0,0.0
310, 2014/11/18,2565.269,2541.419,2534.929,2572.7,2549.95,2497.225,65.635,75.947,45.011,True,False,False,0.0,2180.47865,0.0,0.0
311, 2014/11/17,2613.509,2567.099,2565.939,2576.2,2547.15,2491.85,76.166,81.103,66.291,True,False,False,0.0,2221.48265,0.0,0.0
312, 2014/11/14,2569.209,2581.089,2557.669,2575.9,2541.65,2486.2,82.169,83.572,79.363,True,False,False,0.0,2183.82765,0.0,0.0
313, 2014/11/13,2597.389,2579.749,2567.459,2560.1,2534.4,2479.25,83.865,84.274,83.047,True,True,True,653.102,2207.78065,-389.60835,653.102
314, 2014/11/12,2545.399,2594.319,2539.599,2545.4,2523.35,2472.5,86.946,84.478,91.883,True,True,True,820.432,2163.58915,-381.80985,820.432
315, 2014/11/11,2578.439,2558.609,2532.569,2527.2,2509.05,2465.95,83.382,83.244,83.657,True,True,True,783.642,2191.67315,-386.76585,783.642
316, 2014/11/10,2529.829,2565.729,2514.709,2518.1,2494.85,2460.375,88.868,83.175,100.253,True,True,True,836.712,2150.35465,-379.47435,836.712
317, 2014/11/07,2508.759,2502.149,2489.419,2507.4,2475.15,2454.8,83.301,80.329,89.246,True,True,True,833.532,2132.44515,-376.31385,833.532
318, 2014/11/06,2505.169,2506.069,2482.979,2508.7,2464.0,2453.05,86.651,78.843,102.268,True,True,True,700.472,2129.39365,-375.77535,700.472
319, 2014/11/05,2516.869,2503.449,2499.229,2501.3,2453.0,2451.85,85.546,74.938,106.762,True,True,True,508.822,2139.33865,-377.53035,508.822
320, 2014/11/04,2511.04,2513.169,2498.61,2490.9,2444.5,2450.6,84.695,69.634,114.817,True,True,True,531.891,2134.384,-376.656,531.891
321, 2014/11/03,2515.82,2512.55,2502.06,2471.6,2436.55,2447.5,80.427,62.104,117.075,True,True,True,759.711,2138.447,-377.373,759.711
322, 2014/10/31,2473.5,2508.32,2466.5,2442.9,2430.75,2444.25,74.217,52.942,116.766,True,True,True,1116.041,2102.475,-371.025,1116.041
323, 2014/10/30,2450.359,2468.929,2443.759,2419.3,2424.1,2440.7,62.611,42.305,103.223,True,True,True,1311.092,2082.80515,-367.55385,1311.092
324, 2014/10/29,2423.809,2451.379,2415.699,2404.7,2421.65,2439.1,46.334,32.152,74.699,True,False,False,0.0,2060.23765,0.0,0.0
325, 2014/10/28,2373.159,2416.649,2373.159,2398.1,2422.85,2438.6,24.467,25.061,23.278,True,False,False,0.0,2017.18515,0.0,0.0
326, 2014/10/27,2377.539,2368.829,2361.679,2401.5,2425.9,2437.75,13.529,25.358,-10.128,True,False,False,0.0,2020.90815,0.0,0.0
327, 2014/10/24,2397.849,2390.709,2385.729,2418.6,2434.45,2438.25,17.28,31.272,-10.704,True,False,False,0.0,2038.17165,0.0,0.0
328, 2014/10/23,2415.439,2395.939,2392.529,2428.9,2442.1,2440.0,23.287,38.268,-6.675,True,False,False,0.0,2053.12315,0.0,0.0
329, 2014/10/22,2434.889,2418.639,2417.559,2438.6,2450.7,2440.625,32.988,45.758,7.448,True,False,False,0.0,2069.65565,0.0,0.0
330, 2014/10/21,2453.409,2433.389,2432.549,2447.6,2456.7,2439.775,43.739,52.143,26.93,True,False,False,0.0,2085.39765,0.0,0.0
331, 2014/10/20,2448.449,2454.709,2441.899,2450.3,2458.45,2437.525,50.816,56.345,39.758,True,False,False,0.0,2081.18165,0.0,0.0
332, 2014/10/17,2443.219,2441.729,2410.399,2450.3,2457.75,2436.65,47.715,59.11,24.924,True,False,False,0.0,2076.73615,0.0,0.0
333, 2014/10/16,2448.969,2444.399,2441.819,2455.3,2457.3,2436.475,51.414,64.808,24.626,True,False,False,0.0,2081.62365,0.0,0.0
334, 2014/10/15,2444.539,2463.869,2431.189,2462.8,2456.55,2435.425,65.09,71.505,52.261,True,False,False,0.0,2077.85815,0.0,0.0
335, 2014/10/14,2451.089,2446.559,2436.339,2465.8,2454.35,2433.875,65.561,74.712,47.261,True,False,False,0.0,2083.42565,0.0,0.0
336, 2014/10/13,2457.409,2454.949,2430.549,2466.6,2449.6,2433.775,79.07,79.287,78.635,True,True,True,1371.832,2088.79765,-368.61135,1371.832
337, 2014/10/10,2472.099,2466.789,2457.679,2465.2,2442.05,2433.525,85.014,79.395,96.251,True,True,True,1344.602,2101.28415,-370.81485,1344.602
338, 2014/10/09,2480.199,2481.959,2461.109,2459.3,2437.9,2431.475,87.338,76.586,108.841,True,True,True,1335.212,2108.16915,-372.02985,1335.212
339, 2014/10/08,2460.869,2478.379,2445.269,2450.3,2430.55,2427.825,83.704,71.21,108.692,True,True,True,1469.512,2091.73865,-369.13035,1469.512
340, 2014/09/30,2452.169,2450.989,2444.199,2442.9,2422.85,2423.225,75.556,64.963,96.742,True,True,True,1358.922,2084.34365,-367.82535,1358.922
341, 2014/09/29,2443.909,2447.799,2435.609,2432.6,2416.6,2418.45,69.929,59.667,90.453,True,True,True,1374.822,2077.32265,-366.58635,1374.822
342, 2014/09/26,2430.809,2437.199,2420.499,2418.9,2415.55,2412.975,63.289,54.536,80.795,True,True,True,1745.472,2066.18765,-364.62135,1745.472
343, 2014/09/25,2453.419,2436.969,2429.589,2416.5,2415.65,2406.675,59.313,50.159,77.622,True,True,True,1797.392,2085.40615,-368.01285,1797.392
344, 2014/09/24,2391.419,2441.859,2387.069,2410.8,2414.3,2401.2,53.48,45.582,69.276,True,False,False,0.0,2032.70615,0.0,0.0
345, 2014/09/23,2379.519,2399.459,2379.519,2402.8,2413.4,2395.325,31.737,41.633,11.945,True,False,False,0.0,2022.59115,0.0,0.0
346, 2014/09/22,2419.329,2378.919,2374.109,2400.6,2417.95,2392.5,33.097,46.581,6.127,True,False,False,0.0,2056.42965,0.0,0.0
347, 2014/09/19,2409.309,2425.209,2402.309,2412.2,2425.0,2391.825,46.892,53.324,34.029,True,False,False,0.0,2047.91265,0.0,0.0
348, 2014/09/18,2396.379,2408.659,2389.619,2414.8,2425.05,2388.25,42.346,56.539,13.959,True,False,False,0.0,2036.92215,0.0,0.0
349, 2014/09/17,2395.359,2401.329,2379.089,2417.8,2425.1,2386.125,45.572,63.636,9.443,True,False,False,0.0,2036.05515,0.0,0.0
350, 2014/09/16,2440.339,2388.759,2386.979,2424.0,2423.6,2384.8,54.859,72.668,19.241,True,False,False,0.0,2074.28815,0.0,0.0
351, 2014/09/15,2432.999,2437.189,2418.959,2435.3,2420.3,2384.1,81.094,81.573,80.137,True,True,True,1778.813,2068.04915,-364.94985,1778.813
352, 2014/09/12,2418.749,2438.359,2412.619,2437.8,2410.4,2380.275,82.527,81.812,83.957,True,True,True,1687.813,2055.93665,-362.81235,1687.813
353, 2014/09/11,2430.679,2423.449,2417.269,2435.3,2397.7,2375.15,83.19,81.455,86.66,True,True,True,1466.953,2066.07715,-364.60185,1466.953
354, 2014/09/10,2435.589,2432.429,2422.649,2432.4,2388.1,2371.925,87.611,80.587,101.659,True,True,True,1227.453,2070.25065,-365.33835,1227.453
355, 2014/09/09,2452.229,2445.219,2437.079,2423.2,2377.25,2368.15,89.148,77.075,113.293,True,True,True,1475.773,2084.39465,-367.83435,1475.773
356, 2014/09/05,2433.169,2449.259,2427.989,2405.3,2367.05,2364.175,87.051,71.039,119.074,True,True,True,1565.373,2068.19365,-364.97535,1565.373
357, 2014/09/04,2411.929,2426.219,2404.079,2383.0,2358.65,2358.25,81.062,63.033,117.119,True,True,True,1473.993,2050.13965,-361.78935,1473.993
358, 2014/09/03,2389.689,2408.839,2389.679,2360.1,2351.45,2353.325,72.051,54.019,108.117,True,True,True,1718.313,2031.23565,-358.45335,1718.313
359, 2014/09/02,2359.859,2386.459,2349.949,2343.8,2347.15,2351.025,60.668,45.002,91.998,True,True,True,1893.163,2005.88015,-353.97885,1893.163
360, 2014/09/01,2340.929,2355.319,2338.529,2331.3,2346.0,2350.175,41.77,37.17,50.972,True,False,False,0.0,1989.78965,0.0,0.0
361, 2014/08/29,2317.299,2338.289,2313.259,2328.8,2347.9,2351.175,27.965,34.869,14.157,True,False,False,0.0,1969.70415,0.0,0.0
362, 2014/08/28,2328.059,2311.279,2309.639,2334.3,2350.15,2350.75,21.434,38.321,-12.342,True,False,False,0.0,1978.85015,0.0,0.0
363, 2014/08/27,2323.789,2327.599,2322.889,2342.8,2352.6,2352.7,30.981,46.765,-0.586,True,False,False,0.0,1975.22065,0.0,0.0
364, 2014/08/26,2339.599,2324.089,2317.179,2350.5,2355.75,2352.425,38.152,54.657,5.142,True,False,False,0.0,1988.65915,0.0,0.0
365, 2014/08/25,2367.019,2342.859,2338.459,2360.7,2359.05,2352.775,51.711,62.91,29.313,True,False,False,0.0,2011.96615,0.0,0.0
366, 2014/08/22,2352.319,2365.359,2350.989,2367.0,2361.3,2351.825,67.133,68.509,64.381,True,False,False,0.0,1999.47115,0.0,0.0
367, 2014/08/21,2365.729,2354.239,2333.299,2366.0,2357.85,2346.575,66.167,69.197,60.106,True,True,True,2564.823,2010.86965,-354.85935,2564.823
368, 2014/08/20,2371.649,2366.139,2360.839,2362.4,2355.2,2340.725,76.628,70.712,88.46,True,True,True,2767.184,2015.90165,-355.74735,2767.184
369, 2014/08/19,2378.889,2374.769,2358.969,2361.0,2354.9,2332.325,76.23,67.754,93.18,True,True,True,2685.933,2022.05565,-356.83335,2685.933
370, 2014/08/18,2366.269,2374.559,2361.199,2357.4,2354.35,2323.2,68.501,63.516,78.469,True,False,False,0.0,2011.32865,0.0,0.0
371, 2014/08/15,2337.989,2360.639,2333.119,2355.6,2354.45,2312.8,57.081,61.024,49.194,True,False,False,0.0,1987.29065,0.0,0.0
372, 2014/08/14,2357.199,2335.949,2334.079,2349.7,2351.35,2302.975,51.992,62.996,29.986,True,False,False,0.0,2003.61915,0.0,0.0
373, 2014/08/13,2358.459,2358.899,2335.689,2348.0,2352.8,2294.025,64.44,68.498,56.324,True,False,False,0.0,2004.69015,0.0,0.0
374, 2014/08/12,2361.169,2357.049,2344.719,2348.8,2349.1,2284.625,64.446,70.527,52.284,True,False,False,0.0,2006.99365,0.0,0.0
375, 2014/08/11,2338.009,2365.349,2337.009,2351.3,2346.5,2275.525,65.145,73.567,48.302,True,False,False,0.0,1987.30765,0.0,0.0
376, 2014/08/08,2329.179,2331.129,2319.29,2353.3,2342.35,2265.825,59.632,77.778,23.341,True,False,False,0.0,1979.80215,0.0,0.0
