date,open,close,ma5,ma10,ma5_up_10,ma5_down_10,ma5_up_10_earning,ma5_down_10_earning
2015-11-23,8564.882,8532.518,8469.245,8473.768,True,,41.178,0.0
2015-11-20,8553.627,8580.416,8465.393,8461.182,,True,0.0,101.543
2015-11-19,8295.788,8519.071,8418.436,8429.69,,,0.0,0.0
2015-11-18,8443.959,8266.7,8421.446,8381.07,,,0.0,0.0
2015-11-17,8594.676,8447.521,8479.021,8358.335,,,0.0,0.0
2015-11-16,8213.556,8513.259,8478.291,8276.651,,,0.0,0.0
2015-11-13,8441.789,8345.631,8456.971,8190.026,,,0.0,0.0
2015-11-12,8612.816,8534.121,8440.944,8135.055,,,0.0,0.0
2015-11-11,8457.188,8554.574,8340.694,8058.828,,,0.0,0.0
2015-11-10,8364.104,8443.868,8237.65,7975.771,,,0.0,0.0
2015-11-09,8227.924,8406.663,8075.012,7924.248,,,0.0,0.0
2015-11-06,8065.065,8265.496,7923.08,7872.506,True,,-30.288,0.0
2015-11-05,8057.455,8032.868,7829.165,7828.327,,,0.0,0.0
2015-11-04,7672.135,8039.353,7776.962,7792.216,,True,0.0,-144.301
2015-11-03,7677.608,7630.68,7713.893,7729.467,,,0.0,0.0
2015-11-02,7623.195,7647.002,7773.484,7753.962,,,0.0,0.0
2015-10-30,7769.064,7795.92,7821.932,7759.635,,,0.0,0.0
2015-10-29,7772.015,7771.855,7827.489,7751.089,,,0.0,0.0
2015-10-28,7873.539,7724.008,7807.47,7736.738,,,0.0,0.0
2015-10-27,7820.359,7928.634,7745.04,7704.335,,,0.0,0.0
2015-10-26,7927.148,7889.241,7734.441,7659.508,,,0.0,0.0
2015-10-23,7713.172,7823.706,7697.337,7613.402,,,0.0,0.0
2015-10-22,7392.718,7671.76,7674.69,7544.383,,,0.0,0.0
2015-10-21,7876.108,7411.859,7666.007,7481.027,,,0.0,0.0
2015-10-20,7685.982,7875.637,7663.63,7422.333,,,0.0,0.0
2015-10-19,7743.056,7703.725,7584.576,7312.74,,,0.0,0.0
2015-10-16,7674.29,7710.468,7529.467,7216.688,,,0.0,0.0
2015-10-15,7377.526,7628.345,7414.076,7130.653,,,0.0,0.0
2015-10-14,7446.259,7399.973,7296.046,7038.65,,,0.0,0.0
2015-10-13,7375.937,7480.367,7181.037,6992.608,,,0.0,0.0
2015-10-12,7174.916,7428.181,7040.904,6930.739,True,,978.482,0.0
2015-10-09,7026.817,7133.516,6903.909,6882.037,,,0.0,0.0
2015-10-08,7020.129,7038.194,6847.23,6855.243,,True,0.0,-994.674
2015-10-07,6818.916,6824.925,6781.253,6812.964,,,0.0,0.0
2015-09-30,6771.728,6779.704,6804.18,6786.425,,,0.0,0.0
2015-09-29,6738.255,6743.207,6820.573,6775.214,,,0.0,0.0
2015-09-28,6729.307,6850.12,6860.164,6725.017,,,0.0,0.0
2015-09-25,6909.068,6708.308,6863.256,6698.309,,,0.0,0.0
2015-09-24,6906.621,6939.559,6844.675,6736.919,True,,784.449,0.0
2015-09-23,6826.016,6861.672,6768.671,6749.704,,,0.0,0.0
2015-09-22,6898.568,6941.161,6729.854,6784.966,,,0.0,0.0
2015-09-21,6543.613,6865.579,6589.869,6792.204,,,0.0,0.0
2015-09-18,6611.264,6615.403,6533.362,6784.42,,,0.0,0.0
2015-09-17,6645.491,6559.542,6629.164,6807.873,,,0.0,0.0
2015-09-16,6267.154,6667.584,6730.736,6837.971,,True,0.0,-1208.053
2015-09-15,6424.042,6241.239,6840.078,6884.546,,,0.0,0.0
2015-09-14,7129.92,6583.042,6994.539,6989.767,,,0.0,0.0
2015-09-11,7053.803,7094.412,7035.477,7024.768,True,,533.933,0.0
2015-09-10,7097.325,7067.403,6986.582,6982.948,,,0.0,0.0
2015-09-09,7026.289,7214.294,6945.207,6961.864,,,0.0,0.0
2015-09-08,6715.399,7013.542,6929.013,6979.579,,,0.0,0.0
2015-09-07,6893.227,6787.735,6984.996,7079.127,,,0.0,0.0
2015-09-02,6559.964,6849.937,7014.06,7244.001,,,0.0,0.0
2015-09-01,7019.961,6860.525,6979.313,7427.507,,,0.0,0.0
2015-08-31,7245.95,7133.326,6978.52,7592.944,,,0.0,0.0
2015-08-28,7038.49,7293.457,7030.144,7789.944,,,0.0,0.0
2015-08-27,6811.302,6933.053,7173.258,7964.933,,,0.0,0.0
2015-08-26,6877.074,6676.205,7473.942,8172.858,,,0.0,0.0
2015-08-25,6874.404,6856.561,7875.7,8386.036,,,0.0,0.0
2015-08-24,7668.676,7391.445,8207.368,8592.856,,,0.0,0.0
2015-08-21,8289.662,8009.027,8549.743,8749.229,,True,0.0,1067.866
2015-08-20,8605.072,8436.473,8756.608,8808.859,,,0.0,0.0
2015-08-19,8288.001,8684.993,8871.774,8804.092,,,0.0,0.0
2015-08-18,9115.862,8514.902,8896.373,8782.865,,,0.0,0.0
2015-08-17,9032.35,9103.32,8978.344,8792.307,,,0.0,0.0
2015-08-14,9098.457,9043.352,8948.715,8705.322,,,0.0,0.0
2015-08-13,8816.164,9012.303,8861.111,8634.599,,,0.0,0.0
2015-08-12,8881.305,8807.987,8736.409,8564.023,,,0.0,0.0
2015-08-11,8978.082,8924.757,8669.356,8544.347,,,0.0,0.0
2015-08-10,8676.975,8955.174,8606.269,8476.932,True,,-1740.88,0.0
2015-08-07,8480.04,8605.333,8461.93,8418.475,,,0.0,0.0
2015-08-06,8304.76,8388.795,8408.087,8465.466,,,0.0,0.0
2015-08-05,8600.305,8472.723,8391.637,8552.626,,,0.0,0.0
2015-08-04,8259.685,8609.322,8419.337,8611.259,,,0.0,0.0
2015-08-03,8228.266,8233.476,8347.595,8650.299,,,0.0,0.0
2015-07-31,8203.941,8336.12,8375.021,8715.963,,,0.0,0.0
2015-07-30,8579.813,8306.544,8522.846,8756.566,,True,0.0,1373.491
