,open,close,high,low,ma5,ma10,ma20,rolling_low,stop_loss,earnings,ma5_up_10,ma5_crossdown_20,ma_cross_earnings
88,3548.951,3534.181,3572.991,3502.501,3481.2,3387.25,3324.6,,3194.0559,-354.8951,,,
89,3508.521,3534.072,3537.542,3487.102,3464,3358.1,3311.95,,3157.6689,-350.8521,,,
90,3403.392,3486.812,3486.812,3402.322,3425.1,3327.85,3302.6,,3063.0528,-340.3392,,,
91,3431.142,3406.112,3458.702,3403.232,3387.1,3307.7,3296.15,,3088.0278,-343.1142,,,
92,3422.481,3445.042,3452.052,3413.971,3346.5,3293.4,3295.825,,3080.2329,-342.2481,True,,-342.2480999999998
93,3351.141,3447.691,3486.631,3347.251,3293.3,3282.8,3290.275,,3016.0269,-335.1141,,,
94,3302.361,3340.121,3352.381,3293.971,3252.2,3268.85,3280.4,,2972.1249,-330.2361,,,
95,3324.981,3296.481,3337.332,3294.611,3230.6,3259.95,3281.675,,2992.4829,-332.4981,,,
96,3195.901,3202.951,3223.911,3186.771,3228.3,3254,3284.95,,2876.3109,-319.5901,,,
97,3197.221,3178.851,3208.421,3159.042,3240.3,3264.65,3293.125,,2877.4989,-319.7221,,,
98,3226.612,3242.751,3246.552,3186.511,3272.3,3261.95,3301.3,,2903.9508,-322.6612,,True,
99,3272.672,3231.952,3290.862,3201.912,3285.5,3265.8,3299.45,,2945.4048,-327.2672,True,,-327.2671999999998
100,3278.902,3285.002,3300.862,3255.902,3289.3,3277.35,3289.15,,2951.0118,-327.8902,,,
101,3290.072,3263.031,3315.942,3253.332,3279.7,3284.6,3277.05,,2961.0648,-329.0072,,,
102,3312.372,3339.031,3371.412,3303.182,3289,3298.25,3277.675,,2981.1348,-331.2372,,,
103,3222.602,3308.251,3312.552,3211.932,3251.6,3297.75,3290.2,,2900.3418,-322.2602,,,
104,3254.441,3251.271,3280.881,3227.831,3246.1,3291.95,3312.85,,2928.9969,-325.4441,,,
105,3287.661,3237.001,3354.911,3237.001,3265.4,3303.4,3344.6,,2958.8949,-328.7661,,,
106,3149.161,3309.251,3345.921,3131.371,3289.5,3315.9,3374.025,,2834.2449,-314.9161,,,
107,3208.741,3152.231,3240.082,3131.981,3307.5,3321.6,3412.425,,2887.8669,-320.8741,,,
108,3367.641,3281.131,3373.921,3187.571,3343.9,3340.65,3458.525,,3030.8769,-336.7641,,,
109,3349.881,3347.191,3383.131,3315.481,3337.8,3333.1,3498.225,,3014.8929,-334.9881,,,
110,3349.281,3357.561,3398.321,3337.311,3341.4,3300.95,3531.675,,3014.3529,-334.9281,,,
111,3344.821,3399.311,3426.651,3330.291,3342.3,3269.5,3567.125,,3010.3389,-334.4821,,,
112,3221.791,3334.021,3340.221,3170.811,3335.7,3257.1,3601.375,,2899.6119,-322.1791,True,,-322.17909999999983
113,3347.291,3250.491,3422.221,3240.241,3337.4,3282.65,3630.025,,3012.5619,-334.7291,,,
114,3220.851,3365.831,3387.021,3213.641,3328.4,3333.75,3659.075,,2898.7659,-322.0851,,,
115,3296.531,3362.081,3370.501,3190.581,3260.5,3385.8,3684.15,,2966.8779,-329.6531,,,
116,3307.401,3366.541,3368.281,3205.541,3196.7,3432.15,3713.45,,2976.6609,-330.7401,,,
117,3246.241,3342.291,3353.241,3223.621,3178.5,3503.25,3736.6,,2921.6169,-324.6241,,,
118,3092.811,3205.641,3206.721,3028.401,3227.9,3576.4,3760.3,,2783.5299,-309.2811,,,
119,3062.571,3025.691,3192.931,2952.011,3339.1,3663.35,3790.8,,2756.3139,-306.2571,,,
120,3070.011,3042.931,3200.111,3019.561,3511.1,3762.4,3836.025,,2763.0099,-307.0011,,,
121,3454.601,3275.531,3468.151,3266.551,3667.6,3864.75,3874.425,,3109.1409,-345.4601,,,
122,3714.291,3589.541,3757.781,3578.171,3828,3945.65,3901.6,,3342.8619,-371.4291,,True,
123,3848.401,3761.451,3880.821,3761.451,3924.9,3977.4,3930.925,,3463.5609,-384.8401,,,
124,3748.271,3886.141,3898.741,3668.191,3987.6,3984.4,3955.4,,3373.4439,-374.8271,,,
125,4084.311,3825.411,4103.051,3816.551,4013.7,3982.5,3968.95,,3675.8799,-408.4311,,,
126,4058.111,4077.871,4081.771,4009.99,4061.9,3994.75,3985.975,,3652.2999,-405.8111,,,
127,4097.92,4073.541,4113.161,4056.73,4063.3,3969.95,3990.125,,3688.128,-409.792,,,
128,4010.01,4075.46,4075.7,3967.821,4029.9,3944.2,3994,,3609.009,-401.001,,,
129,4025.671,4016.131,4078.031,4015.351,3981.2,3918.25,3990.125,,3623.1039,-402.5671,,,
130,4083.591,4066.671,4110.13,4042.0,3951.3,3909.65,3987.65,,3675.2319,-408.3591,,,
131,3947.471,4084.361,4101.73,3932.841,3927.6,3884.1,3989.925,,3552.7239,-394.7471,True,,-394.74710000000005
132,3866.431,3906.941,3926.651,3857.911,3876.6,3857.55,3996.275,,3479.7879,-386.6431,,,
133,3802.931,3831.851,3888.691,3793.241,3858.5,3884.45,4006.275,,3422.6379,-380.2931,,,
134,3937.621,3866.901,3962.281,3858.661,3855.3,3926.4,4009.575,,3543.8589,-393.7621,,,
135,3827.371,3948.161,3948.451,3801.031,3868,3955.4,3999.375,,3444.6339,-382.7371,,,
136,3766.071,3829.241,3829.241,3742.581,3840.6,3977.2,3998.375,,3389.4639,-376.6071,,,
137,3777.151,3816.701,3863.621,3757.991,3838.5,4010.3,4006.825,,3399.4359,-377.7151,,,
138,3915.781,3815.411,3968.531,3802.881,3910.4,4043.8,4010.3,,3524.2029,-391.5781,,True,
139,3839.961,3930.381,3934.001,3769.191,3997.5,4062,4024.925,,3455.9649,-383.9961,,,
140,3690.971,3811.091,3883.451,3627.421,4042.8,4065.65,4041.05,,3321.8739,-369.0971,,,
141,4097.801,3818.731,4156.311,3817.171,4113.8,4095.75,4074.15,,3688.0209,-409.7801,,,
142,4255.201,4176.281,4299.651,4154.621,4182.1,4135,4092.775,,3829.6809,-425.5201,,,
143,4158.931,4250.811,4262.061,4148.821,4177.2,4128.1,4100.775,,3743.0379,-415.8931,,,
144,4148.561,4157.161,4187.431,4094.71,4126.5,4092.75,4123.55,,3733.7049,-414.8561,,,
145,4109.761,4166.011,4201.481,4081.701,4088.5,4043.35,4159.725,,3698.7849,-410.9761,,,
146,4157.061,4160.611,4221.691,4106.391,4077.7,4019.55,4190.725,,3741.3549,-415.7061,,,
147,4023.761,4151.501,4190.191,4000.231,4087.9,4003.35,4214.55,,3621.3849,-402.3761,,,
148,3949.641,3997.361,4067.021,3856.321,4079,3976.8,4253.5,,3554.6769,-394.9641,True,,-394.9640999999997
149,4068.881,3966.761,4114.241,3899.511,4059,3987.85,4310.575,,3661.9929,-406.8881,,,
150,4178.631,4112.151,4258.511,4062.501,3998.2,4016.45,4365.45,,3760.7679,-417.8631,,,
151,4132.231,4211.812,4278.162,4072.431,3961.4,4052.55,4420.925,,3719.0079,-413.2231,,,
152,3916.272,4106.562,4179.112,3887.552,3918.8,4050.55,4477.1,,3524.6448,-391.6272,,,
153,3621.682,3897.632,3930.262,3537.832,3874.6,4073.45,4537.075,,3259.5138,-362.1682,,,
154,3651.062,3663.042,3762.622,3612.252,3916.7,4154.35,4607.65,,3285.9558,-365.1062,,,
155,3877.852,3928.002,3960.642,3743.622,4034.7,4276.1,4690.375,,3490.0668,-387.7852,,,
156,4218.272,3998.542,4218.272,3832.472,4143.7,4361.9,4761.675,,3796.4448,-421.8272,,,
157,4017.202,3885.922,4164.632,3785.902,4182.3,4425.75,4823.275,,3615.4818,-401.7202,,,
158,4287.732,4108.002,4312.192,4000.062,4272.3,4530.2,4888.05,,3858.9588,-428.7732,,,
159,4408.982,4253.022,4526.132,4235.702,4392,4633.3,4939.825,,3968.0838,-440.8982,,,
160,4161.072,4473.002,4475.772,4016.012,4517.5,4714.45,4985.275,,3744.9648,-416.1072,,,
161,4446.842,4191.552,4451.172,4000.932,4580.1,4789.3,5015.425,,4002.1578,-444.6842,,,
162,4573.872,4336.192,4650.192,4278.682,4669.2,4903.65,5047.9,,4116.4848,-457.3872,,,
163,4906.242,4706.522,4919.262,4667.222,4788.1,5000.7,5072.8,,4415.6178,-490.6242,,,
164,4811.592,4880.132,4883.732,4744.313,4874.6,5060.95,5096.55,,4330.4328,-481.1592,,,
165,4641.422,4786.092,4786.962,4455.333,4911.4,5104.65,5112.45,,4177.2798,-464.1422,,,
166,4847.062,4637.052,4910.452,4634.692,4998.5,5161.45,5128.125,,4362.3558,-484.7062,,True,
167,5107.692,4930.552,5121.222,4926.433,5138.1,5220.8,5143.85,,4596.9228,-510.7692,,,
168,5072.313,5138.833,5158.373,4949.292,5213.3,5245.9,5139.375,,4565.0817,-507.2313,,,
169,5165.022,5064.822,5204.302,5015.263,5247.3,5246.35,5120.175,,4648.5198,-516.5022,,,
170,5354.012,5221.172,5362.452,5207.312,5297.9,5256.1,5103.5,,4818.6108,-535.4012,,,
171,5329.282,5335.122,5351.652,5283.092,5324.4,5241.55,5071.2,,4796.3538,-532.9282,,,
172,5305.142,5306.592,5329.292,5248.162,5303.5,5192.15,5035.3,,4774.6278,-530.5142,,,
173,5254.302,5309.112,5374.832,5209.682,5278.5,5144.9,5005.025,,4728.8718,-525.4302,,,
174,5379.472,5317.462,5380.432,5251.212,5245.4,5132.15,4975.5,,4841.5248,-537.9472,,,
175,5259.412,5353.752,5370.612,5202.592,5214.3,5120.25,4947,,4733.4708,-525.9412,,,
176,5254.912,5230.552,5288.342,5104.182,5158.7,5094.8,4913.825,,4729.4208,-525.4912,True,,-525.4911999999995
177,5156.012,5181.422,5194.232,4863.472,5080.8,5066.9,4880.225,,4640.4108,-515.6012,,,
178,5176.602,5143.592,5186.972,5059.492,5011.3,5032.85,4844.65,,4658.9418,-517.6602,,,
179,5091.271,5161.872,5162.562,5047.082,5018.9,4994,4815.125,,4582.1439,-509.1271,,,
180,4862.762,5076.182,5079.322,4835.771,5026.2,4950.9,4786.875,,4376.4858,-486.2762,,,
181,4839.532,4840.832,4924.302,4665.522,5030.9,4900.85,4772.475,,4355.5788,-483.9532,,,
182,5174.102,4834.012,5213.182,4831.332,5053,4878.45,4767.9,,4656.6918,-517.4102,,,
183,5216.172,5181.432,5226.842,5126.862,5054.4,4865.15,4764.925,,4694.5548,-521.6172,,,
184,5140.802,5198.922,5199.292,5063.152,4969.1,4818.85,4742.95,,4626.7218,-514.0802,,,
185,4949.112,5099.492,5099.842,4949.112,4875.6,4773.75,4723.4,,4454.2008,-494.9112,,,
