date,close,ma5,ma10,ma20,gt_ma,earning,earning2
2015-12-10,14.78,14.388,14.071,14.256,True,0.63,0.0
2015-12-09,14.25,14.248,14.046,14.284,True,0.6,0.0
2015-12-08,14.38,14.14,14.12,14.339,True,0.23,0.0
2015-12-07,14.25,14.104,14.116,14.353,True,0.3,0.0
2015-12-04,14.28,13.934,14.13,14.386,True,0.11,0.0
2015-12-03,14.08,13.754,14.13,14.374,True,0.7,0.0
2015-12-02,13.71,13.844,14.142,14.366,False,0.0,0.54
2015-12-01,14.2,14.1,14.166,14.395,True,0.18,0.0
2015-11-30,13.4,14.128,14.194,14.351,False,0.0,0.85
2015-11-27,13.38,14.326,14.315,14.335,False,0.0,0.9
2015-11-26,14.53,14.506,14.44,14.351,True,-0.45,0.0
2015-11-25,14.99,14.44,14.522,14.324,True,-1.28,0.0
2015-11-24,14.34,14.232,14.558,14.261,True,-0.14,0.0
2015-11-23,14.39,14.26,14.59,14.304,True,-0.99,0.0
2015-11-20,14.28,14.304,14.642,14.321,False,0.0,-0.9
2015-11-19,14.2,14.374,14.618,14.333,False,0.0,0.33
2015-11-18,13.95,14.604,14.589,14.283,False,0.0,1.04
2015-11-17,14.48,14.884,14.623,14.186,False,0.0,-0.14
2015-11-16,14.61,14.92,14.507,14.051,False,0.0,-0.22
2015-11-13,14.63,14.98,14.355,13.879,False,0.0,-0.35
2015-11-12,15.35,14.862,14.261,13.716,True,-1.15,0.0
2015-11-11,15.35,14.574,14.125,13.505,True,-1.4,0.0
2015-11-10,14.66,14.362,13.964,13.267,True,-0.18,0.0
2015-11-09,14.91,14.094,14.017,13.059,True,-0.3,0.0
2015-11-06,14.04,13.73,14.0,12.839,True,0.59,0.0
2015-11-05,13.91,13.66,14.048,12.641,True,1.44,0.0
2015-11-04,14.29,13.676,13.977,12.448,True,1.06,0.0
2015-11-03,13.32,13.566,13.748,12.201,False,0.0,1.34
2015-11-02,13.09,13.94,13.595,12.002,False,0.0,1.82
2015-10-30,13.69,14.27,13.403,11.81,False,0.0,0.35
2015-10-29,13.99,14.436,13.171,11.601,False,0.0,-0.08
2015-10-28,13.74,14.278,12.884,11.367,False,0.0,0.55
2015-10-27,15.19,13.93,12.569,11.169,True,-1.87,0.0
2015-10-26,14.74,13.25,12.1,10.892,True,-1.65,0.0
2015-10-23,14.52,12.536,11.678,10.648,True,-0.83,0.0
2015-10-22,13.2,11.906,11.233,10.417,True,0.79,0.0
2015-10-21,12.0,11.49,10.918,10.23,True,1.74,0.0
2015-10-20,11.79,11.208,10.654,10.096,True,3.4,0.0
2015-10-19,11.17,10.95,10.408,9.968,True,3.57,0.0
2015-10-16,11.37,10.82,10.216,9.829,True,3.15,0.0
2015-10-15,11.12,10.56,10.03,9.72,True,2.08,0.0
2015-10-14,10.59,10.346,9.849,9.674,True,1.41,0.0
2015-10-13,10.5,10.1,9.768,9.653,True,1.29,0.0
2015-10-12,10.52,9.866,9.683,9.653,True,0.65,0.0
2015-10-09,10.07,9.612,9.618,9.633,True,1.3,0.0
2015-10-08,10.05,9.5,9.601,9.618,True,1.07,0.0
2015-10-07,9.36,9.352,9.541,9.596,True,1.23,0.0
2015-09-30,9.33,9.436,9.537,9.586,False,0.0,1.17
2015-09-29,9.25,9.5,9.527,9.628,False,0.0,1.27
2015-09-28,9.51,9.624,9.442,9.71,False,0.0,0.56
2015-09-25,9.31,9.702,9.409,9.742,False,0.0,0.74
2015-09-24,9.78,9.73,9.498,9.762,True,-0.42,0.0
2015-09-23,9.65,9.638,9.538,9.78,True,-0.32,0.0
2015-09-22,9.87,9.554,9.623,9.862,True,-0.62,0.0
2015-09-21,9.9,9.26,9.647,9.995,True,-0.39,0.0
2015-09-18,9.45,9.116,9.634,10.113,True,-0.14,0.0
2015-09-17,9.32,9.266,9.651,10.279,True,0.46,0.0
2015-09-16,9.23,9.438,9.634,10.427,False,0.0,0.42
2015-09-15,8.4,9.692,9.728,10.642,False,0.0,1.47
2015-09-14,9.18,10.034,9.977,10.899,False,0.0,0.72
2015-09-11,10.2,10.152,10.075,11.123,True,-0.75,0.0
2015-09-10,10.18,10.036,10.025,11.284,True,-0.86,0.0
2015-09-09,10.5,9.83,10.022,11.47,True,-1.27,0.0
2015-09-08,10.11,9.764,10.1,11.658,True,-1.71,0.0
2015-09-07,9.77,9.92,10.342,11.844,False,0.0,-0.59
2015-09-02,9.62,9.998,10.591,12.023,False,0.0,0.58
2015-09-01,9.15,10.014,10.907,12.21,False,0.0,1.03
2015-08-31,10.17,10.214,11.22,12.435,False,0.0,0.33
2015-08-28,10.89,10.436,11.556,12.569,True,-0.78,0.0
2015-08-27,10.16,10.764,11.821,12.648,False,0.0,-0.39
2015-08-26,9.7,11.184,12.171,12.764,False,0.0,-0.08
2015-08-25,10.15,11.8,12.542,12.919,False,0.0,-1.0
2015-08-24,11.28,12.226,12.918,13.02,False,0.0,-1.11
2015-08-21,12.53,12.676,13.216,13.061,False,0.0,-1.64
