,avge,avge2,count,days,ma,scope,sum,sum2
180,304.970637931,336.068722141,696,150,ma5,0.07,212259.564,233903.83061
181,303.000762271,349.378164687,1039,150,ma10,0.07,314817.792,363003.91311
182,324.623040782,369.521531334,1177,150,ma20,0.07,382081.319,434926.84238
183,315.709661871,350.29911436,695,160,ma5,0.07,219418.215,243457.88448
184,317.360738921,364.85024894,1038,160,ma10,0.07,329420.447,378714.5584
185,346.036498726,390.510971504,1177,160,ma20,0.07,407284.959,459631.41346
186,331.621261871,374.133203885,695,170,ma5,0.07,230476.777,260022.5767
187,336.013495183,390.637329672,1038,170,ma10,0.07,348782.008,405481.5482
188,361.943994048,416.823662024,1176,170,ma20,0.07,425646.137,490184.62654
189,340.304121387,389.213725853,692,180,ma5,0.07,235490.452,269335.89829
190,360.314215534,414.025613495,1030,180,ma10,0.07,371123.642,426446.3819
191,383.502023136,438.315827318,1167,180,ma20,0.07,447546.861,511514.57048
192,370.132810496,411.799418994,686,190,ma5,0.07,253911.108,282494.40143
193,378.091580078,436.266699258,1024,190,ma10,0.07,387165.778,446737.10004
194,395.296968103,457.721503328,1160,190,ma20,0.07,458544.483,530956.94386
195,358.561274854,414.797319401,684,200,ma5,0.07,245255.912,283721.36647
196,368.988627202,443.021031194,1022,200,ma10,0.07,377106.377,452767.49388
197,394.455418182,470.768703039,1155,200,ma20,0.07,455596.008,543737.85201
198,374.60632106,429.01080243,679,210,ma5,0.07,254357.692,291298.33485
199,388.681574111,459.418397441,1012,210,ma10,0.07,393345.753,464931.41821
200,411.92669607,482.156797677,1145,210,ma20,0.07,471656.067,552069.53334
201,386.536878338,430.488324911,674,220,ma5,0.07,260525.856,290149.13099
202,410.80646507,466.773374671,1002,220,ma10,0.07,411628.078,467706.92142
203,435.701953304,489.851326282,1135,220,ma20,0.07,494521.717,555981.25533
204,404.457181138,440.699023952,668,230,ma5,0.07,270177.397,294386.948
205,441.257010081,487.754791381,992,230,ma10,0.07,437726.954,483852.75305
206,465.292991111,506.055598462,1125,230,ma20,0.07,523454.615,569312.54827
207,421.739877644,448.198446571,662,240,ma5,0.07,279191.799,296707.37163
208,458.74987234,500.709523384,987,240,ma10,0.07,452786.124,494200.29958
209,478.068577061,518.287866774,1116,240,ma20,0.07,533524.532,578409.25932
210,414.355827744,450.112514116,656,250,ma5,0.07,271817.423,295273.80926
211,458.179628192,507.935648488,979,250,ma10,0.07,448557.856,497268.99987
212,472.425734657,520.888967338,1108,250,ma20,0.07,523447.714,577144.97581
213,411.843285496,454.182689145,655,260,ma5,0.07,269757.352,297489.66139
214,446.929255624,508.740740286,978,260,ma10,0.07,437096.812,497548.444
215,453.675058664,519.636611273,1108,260,ma20,0.07,502671.965,575757.36529
216,405.441866359,450.332339908,651,270,ma5,0.07,263942.655,293166.35328
217,440.516176591,507.540318162,974,270,ma10,0.07,429062.756,494344.26989
218,441.065912965,519.211323436,1103,270,ma20,0.07,486495.702,572690.08975
219,391.104859133,434.53969387,646,280,ma5,0.07,252653.739,280712.64224
220,431.984860393,500.346240765,967,280,ma10,0.07,417729.36,483834.81482
221,430.194997255,508.646816798,1093,280,ma20,0.07,470203.132,555950.97076
222,385.266278816,412.627659019,642,290,ma5,0.07,247340.951,264906.95709
223,429.42804171,482.784505975,959,290,ma10,0.07,411821.492,462990.34123
224,434.63489289,493.227219391,1083,290,ma20,0.07,470709.589,534165.0786
225,392.298628527,405.169647853,638,300,ma5,0.07,250286.525,258498.23533
226,437.885879874,473.466803572,949,300,ma10,0.07,415553.7,449319.99659
227,443.817273998,483.147466878,1073,300,ma20,0.07,476215.935,518417.23196
228,394.853197785,383.000062975,632,310,ma5,0.07,249547.221,242056.0398
229,455.266002121,460.042344783,943,310,ma10,0.07,429315.84,433819.93113
230,465.302579492,479.792325964,1063,310,ma20,0.07,494616.642,510019.2425
231,405.185891892,389.568950397,629,320,ma5,0.07,254861.926,245038.8698
232,478.782837085,470.420975488,933,320,ma10,0.07,446704.387,438902.77013
233,483.034736942,487.733560779,1053,320,ma20,0.07,508635.578,513583.4395
234,408.0151216,396.83007648,625,330,ma5,0.07,255009.451,248018.7978
235,490.909929032,486.263094763,930,330,ma10,0.07,456546.234,452224.67813
236,488.967809524,495.736792857,1050,330,ma20,0.07,513416.2,520523.6325
237,381.752722311,389.784203868,623,340,ma5,0.07,237831.946,242835.55901
238,461.485427646,476.826474309,926,340,ma10,0.07,427335.506,441541.31521
239,455.067706616,479.509505388,1043,340,ma20,0.07,474635.618,500128.41412
240,304.970637931,336.980789483,696,150,ma5,0.08,212259.564,234538.62948
241,303.000762271,348.015965351,1039,150,ma10,0.08,314817.792,361588.588
242,324.623040782,368.765043772,1177,150,ma20,0.08,382081.319,434036.45652
243,315.709661871,350.966966101,695,160,ma5,0.08,219418.215,243922.04144
244,317.360738921,363.557533449,1038,160,ma10,0.08,329420.447,377372.71972
245,346.036498726,390.012273747,1177,160,ma20,0.08,407284.959,459044.4462
246,331.621261871,375.315087942,695,170,ma5,0.08,230476.777,260843.98612
247,336.013495183,389.763828285,1038,170,ma10,0.08,348782.008,404574.85376
248,361.943994048,416.792556701,1176,170,ma20,0.08,425646.137,490148.04668
249,340.304121387,390.359324104,692,180,ma5,0.08,235490.452,270128.65228
250,360.314215534,413.866910796,1030,180,ma10,0.08,371123.642,426282.91812
251,383.502023136,438.992676607,1167,180,ma20,0.08,447546.861,512304.4536
252,370.132810496,411.448442041,686,190,ma5,0.08,253911.108,282253.63124
253,378.091580078,435.22722,1024,190,ma10,0.08,387165.778,445672.67328
254,395.296968103,457.674619241,1160,190,ma20,0.08,458544.483,530902.55832
255,358.561274854,413.257938596,684,200,ma5,0.08,245255.912,282668.43
256,368.988627202,441.501226262,1022,200,ma10,0.08,377106.377,451214.25324
257,394.455418182,470.855951446,1155,200,ma20,0.08,455596.008,543838.62392
258,374.60632106,429.036768365,679,210,ma5,0.08,254357.692,291315.96572
259,388.681574111,460.056809051,1012,210,ma10,0.08,393345.753,465577.49076
260,411.92669607,484.226320035,1145,210,ma20,0.08,471656.067,554439.13644
261,386.536878338,428.917430089,674,220,ma5,0.08,260525.856,289090.34788
262,410.80646507,467.78572,1002,220,ma10,0.08,411628.078,468721.29144
263,435.701953304,492.742848705,1135,220,ma20,0.08,494521.717,559263.13328
264,404.457181138,439.710457784,668,230,ma5,0.08,270177.397,293726.5858
265,441.257010081,489.726026774,992,230,ma10,0.08,437726.954,485808.21856
266,465.292991111,510.10444,1125,230,ma20,0.08,523454.615,573867.495
267,421.739877644,447.259837523,662,240,ma5,0.08,279191.799,296086.01244
268,458.74987234,502.869408673,987,240,ma10,0.08,452786.124,496332.10636
269,478.068577061,522.722099606,1116,240,ma20,0.08,533524.532,583357.86316
270,414.355827744,450.117836159,656,250,ma5,0.08,271817.423,295277.30052
271,458.179628192,512.27414905,979,250,ma10,0.08,448557.856,501516.39192
272,472.425734657,526.897762347,1108,250,ma20,0.08,523447.714,583802.72068
273,411.843285496,452.360155115,655,260,ma5,0.08,269757.352,296295.9016
274,446.929255624,509.759729693,978,260,ma10,0.08,437096.812,498545.01564
275,453.675058664,523.278470253,1108,260,ma20,0.08,502671.965,579792.54504
276,405.441866359,448.139684854,651,270,ma5,0.08,263942.655,291738.93484
277,440.516176591,507.746932115,974,270,ma10,0.08,429062.756,494545.51188
278,441.065912965,521.510523481,1103,270,ma20,0.08,486495.702,575226.1074
279,391.104859133,432.285739133,646,280,ma5,0.08,252653.739,279256.58748
280,431.984860393,499.544491375,967,280,ma10,0.08,417729.36,483059.52316
281,430.194997255,509.60211645,1093,280,ma20,0.08,470203.132,556995.11328
282,385.266278816,410.505783302,642,290,ma5,0.08,247340.951,263544.71288
283,429.42804171,481.65906536,959,290,ma10,0.08,411821.492,461911.04368
284,434.63489289,494.659907405,1083,290,ma20,0.08,470709.589,535716.67972
285,392.298628527,400.056062633,638,300,ma5,0.08,250286.525,255235.76796
286,437.885879874,470.536415848,949,300,ma10,0.08,415553.7,446539.05864
287,443.817273998,483.085540242,1073,300,ma20,0.08,476215.935,518350.78468
288,394.853197785,377.686231139,632,310,ma5,0.08,249547.221,238697.69808
289,455.266002121,457.804481273,943,310,ma10,0.08,429315.84,431709.62584
290,465.302579492,480.800090198,1063,310,ma20,0.08,494616.642,511090.49588
291,405.185891892,383.325111415,629,320,ma5,0.08,254861.926,241111.49508
292,478.782837085,467.536573248,933,320,ma10,0.08,446704.387,436211.62284
293,483.034736942,488.886269592,1053,320,ma20,0.08,508635.578,514797.24188
294,408.0151216,392.244801728,625,330,ma5,0.08,255009.451,245153.00108
295,490.909929032,484.926180473,930,330,ma10,0.08,456546.234,450981.34784
296,488.967809524,498.363487505,1050,330,ma20,0.08,513416.2,523281.66188
297,381.752722311,382.008793451,623,340,ma5,0.08,237831.946,237991.47832
298,461.485427646,473.142894557,926,340,ma10,0.08,427335.506,438130.32036
299,455.067706616,480.685208207,1043,340,ma20,0.08,474635.618,501354.67216
300,304.970637931,335.08707283,696,150,ma5,0.09,212259.564,233220.60269
301,303.000762271,350.774642945,1039,150,ma10,0.09,314817.792,364454.85402
302,324.623040782,368.927650654,1177,150,ma20,0.09,382081.319,434227.84482
303,315.709661871,347.019357971,695,160,ma5,0.09,219418.215,241178.45379
304,317.360738921,365.055888372,1038,160,ma10,0.09,329420.447,378928.01213
305,346.036498726,388.850412073,1177,160,ma20,0.09,407284.959,457676.93501
306,331.621261871,371.575881626,695,170,ma5,0.09,230476.777,258245.23773
307,336.013495183,390.997363805,1038,170,ma10,0.09,348782.008,405855.26363
308,361.943994048,415.488769796,1176,170,ma20,0.09,425646.137,488614.79328
309,340.304121387,388.006304581,692,180,ma5,0.09,235490.452,268500.36277
310,360.314215534,416.652415408,1030,180,ma10,0.09,371123.642,429151.98787
311,383.502023136,439.057837969,1167,180,ma20,0.09,447546.861,512380.49691
312,370.132810496,410.436301385,686,190,ma5,0.09,253911.108,281559.30275
313,378.091580078,439.837658359,1024,190,ma10,0.09,387165.778,450393.76216
314,395.296968103,458.548606009,1160,190,ma20,0.09,458544.483,531916.38297
315,358.561274854,413.05778981,684,200,ma5,0.09,245255.912,282531.52823
316,368.988627202,448.252867162,1022,200,ma10,0.09,377106.377,458114.43024
317,394.455418182,473.390942009,1155,200,ma20,0.09,455596.008,546766.53802
318,374.60632106,430.408753859,679,210,ma5,0.09,254357.692,292247.54387
319,388.681574111,470.285159931,1012,210,ma10,0.09,393345.753,475928.58185
320,411.92669607,488.54490186,1145,210,ma20,0.09,471656.067,559383.91263
321,386.536878338,432.214689985,674,220,ma5,0.09,260525.856,291312.70105
322,410.80646507,481.593681876,1002,220,ma10,0.09,411628.078,482556.86924
323,435.701953304,499.940523084,1135,220,ma20,0.09,494521.717,567432.4937
324,404.457181138,443.497781377,668,230,ma5,0.09,270177.397,296256.51796
325,441.257010081,504.251621442,992,230,ma10,0.09,437726.954,500217.60847
326,465.292991111,519.074261538,1125,230,ma20,0.09,523454.615,583958.54423
327,421.739877644,453.825233097,662,240,ma5,0.09,279191.799,300432.30431
328,458.74987234,519.630971834,987,240,ma10,0.09,452786.124,512875.7692
329,478.068577061,531.612860654,1116,240,ma20,0.09,533524.532,593279.95249
330,414.355827744,456.599895305,656,250,ma5,0.09,271817.423,299529.53132
331,458.179628192,528.782565628,979,250,ma10,0.09,448557.856,517678.13175
332,472.425734657,537.379265903,1108,250,ma20,0.09,523447.714,595416.22662
333,411.843285496,458.085528824,655,260,ma5,0.09,269757.352,300046.02138
334,446.929255624,525.443614632,978,260,ma10,0.09,437096.812,513883.85511
335,453.675058664,532.692725135,1108,260,ma20,0.09,502671.965,590223.53945
336,405.441866359,454.563815346,651,270,ma5,0.09,263942.655,295921.04379
337,440.516176591,525.490176099,974,270,ma10,0.09,429062.756,511827.43152
338,441.065912965,530.394809719,1103,270,ma20,0.09,486495.702,585025.47512
339,391.104859133,439.612837167,646,280,ma5,0.09,252653.739,283989.89281
340,431.984860393,518.524616556,967,280,ma10,0.09,417729.36,501413.30421
341,430.194997255,518.500335014,1093,280,ma20,0.09,470203.132,566720.86617
342,385.266278816,419.726157726,642,290,ma5,0.09,247340.951,269464.19326
343,429.42804171,504.468831981,959,290,ma10,0.09,411821.492,483785.60987
344,434.63489289,505.309314801,1083,290,ma20,0.09,470709.589,547249.98793
345,392.298628527,409.580192069,638,300,ma5,0.09,250286.525,261312.16254
346,437.885879874,494.659259937,949,300,ma10,0.09,415553.7,469431.63768
347,443.817273998,494.342297055,1073,300,ma20,0.09,476215.935,530429.28474
348,394.853197785,389.244052073,632,310,ma5,0.09,249547.221,246002.24091
349,455.266002121,486.15323123,943,310,ma10,0.09,429315.84,458442.49705
350,465.302579492,495.173375456,1063,310,ma20,0.09,494616.642,526369.29811
351,405.185891892,398.391472035,629,320,ma5,0.09,254861.926,250588.23591
352,478.782837085,500.211472722,933,320,ma10,0.09,446704.387,466697.30405
353,483.034736942,506.267922232,1053,320,ma20,0.09,508635.578,533100.12211
354,408.0151216,408.386401456,625,330,ma5,0.09,255009.451,255241.50091
355,490.909929032,517.519057043,930,330,ma10,0.09,456546.234,481292.72305
356,488.967809524,516.209844867,1050,330,ma20,0.09,513416.2,542020.33711
357,381.752722311,395.360692873,623,340,ma5,0.09,237831.946,246309.71166
358,461.485427646,501.227858078,926,340,ma10,0.09,427335.506,464136.99658
359,455.067706616,495.914182761,1043,340,ma20,0.09,474635.618,517238.49262
360,304.970637931,329.150643822,696,150,ma5,0.1,212259.564,229088.8481
361,303.000762271,347.809440038,1039,150,ma10,0.1,314817.792,361374.0082
362,324.623040782,369.065307052,1177,150,ma20,0.1,382081.319,434389.8664
363,315.709661871,338.076168201,695,160,ma5,0.1,219418.215,234962.9369
364,317.360738921,360.326000096,1038,160,ma10,0.1,329420.447,374018.3881
365,346.036498726,387.729058879,1177,160,ma20,0.1,407284.959,456357.1023
366,331.621261871,360.791338273,695,170,ma5,0.1,230476.777,250749.9801
367,336.013495183,384.807085164,1038,170,ma10,0.1,348782.008,399429.7544
368,361.943994048,412.909714286,1176,170,ma20,0.1,425646.137,485581.824
369,340.304121387,377.903773844,692,180,ma5,0.1,235490.452,261509.4115
370,360.314215534,410.974011553,1030,180,ma10,0.1,371123.642,423303.2319
