,date,open,close,high,low,ma5,ma10,ma20,rolling_high,new_highest,stop_loss
134,,3937.621,3866.901,3962.281,3858.661,3855.3,3926.4,4009.575,4113.161,True,3740.73995
135,,3827.371,3948.161,3948.451,3801.031,3868,3955.4,3999.375,4113.161,True,3636.00245
136,,3766.071,3829.241,3829.241,3742.581,3840.6,3977.2,3998.375,4113.161,False,3577.76745
137,,3777.151,3816.701,3863.621,3757.991,3838.5,4010.3,4006.825,4113.161,False,3588.29345
138,,3915.781,3815.411,3968.531,3802.881,3910.4,4043.8,4010.3,4113.161,True,3719.99195
139,,3839.961,3930.381,3934.001,3769.191,3997.5,4062,4024.925,4113.161,True,3647.96295
140,,3690.971,3811.091,3883.451,3627.421,4042.8,4065.65,4041.05,4113.161,False,3506.42245
141,,4097.801,3818.731,4156.311,3817.171,4113.8,4095.75,4074.15,4156.311,False,3892.91095
142,,4255.201,4176.281,4299.651,4154.621,4182.1,4135,4092.775,4299.651,True,4042.44095
143,,4158.931,4250.811,4262.061,4148.821,4177.2,4128.1,4100.775,4299.651,True,3950.98445
144,,4148.561,4157.161,4187.431,4094.71,4126.5,4092.75,4123.55,4299.651,False,3941.13295
145,,4109.761,4166.011,4201.481,4081.701,4088.5,4043.35,4159.725,4299.651,False,3904.27295
146,,4157.061,4160.611,4221.691,4106.391,4077.7,4019.55,4190.725,4299.651,True,3949.20795
147,,4023.761,4151.501,4190.191,4000.231,4087.9,4003.35,4214.55,4299.651,True,3822.57295
148,,3949.641,3997.361,4067.021,3856.321,4079,3976.8,4253.5,4299.651,False,3752.15895
149,,4068.881,3966.761,4114.241,3899.511,4059,3987.85,4310.575,4299.651,False,3865.43695
150,,4178.631,4112.151,4258.511,4062.501,3998.2,4016.45,4365.45,4299.651,False,3969.69945
151,,4132.231,4211.812,4278.162,4072.431,3961.4,4052.55,4420.925,4299.651,True,3925.61945
152,,3916.272,4106.562,4179.112,3887.552,3918.8,4050.55,4477.1,4299.651,True,3720.4584
153,,3621.682,3897.632,3930.262,3537.832,3874.6,4073.45,4537.075,4299.651,True,3440.5979
154,,3651.062,3663.042,3762.622,3612.252,3916.7,4154.35,4607.65,4299.651,False,3468.5089
155,,3877.852,3928.002,3960.642,3743.622,4034.7,4276.1,4690.375,4299.651,False,3683.9594
156,,4218.272,3998.542,4218.272,3832.472,4143.7,4361.9,4761.675,4299.651,True,4007.3584
157,,4017.202,3885.922,4164.632,3785.902,4182.3,4425.75,4823.275,4299.651,False,3816.3419
158,,4287.732,4108.002,4312.192,4000.062,4272.3,4530.2,4888.05,4312.192,False,4073.3454
159,,4408.982,4253.022,4526.132,4235.702,4392,4633.3,4939.825,4526.132,True,4188.5329
160,,4161.072,4473.002,4475.772,4016.012,4517.5,4714.45,4985.275,4526.132,True,3953.0184
161,,4446.842,4191.552,4451.172,4000.932,4580.1,4789.3,5015.425,4526.132,False,4224.4999
162,,4573.872,4336.192,4650.192,4278.682,4669.2,4903.65,5047.9,4650.192,False,4345.1784
163,,4906.242,4706.522,4919.262,4667.222,4788.1,5000.7,5072.8,4919.262,True,4660.9299
164,,4811.592,4880.132,4883.732,4744.313,4874.6,5060.95,5096.55,4919.262,True,4571.0124
165,,4641.422,4786.092,4786.962,4455.333,4911.4,5104.65,5112.45,4919.262,False,4409.3509
166,,4847.062,4637.052,4910.452,4634.692,4998.5,5161.45,5128.125,4919.262,False,4604.7089
167,,5107.692,4930.552,5121.222,4926.433,5138.1,5220.8,5143.85,5121.222,False,4852.3074
168,,5072.313,5138.833,5158.373,4949.292,5213.3,5245.9,5139.375,5158.373,False,4818.69735
169,,5165.022,5064.822,5204.302,5015.263,5247.3,5246.35,5120.175,5204.302,False,4906.7709
170,,5354.012,5221.172,5362.452,5207.312,5297.9,5256.1,5103.5,5362.452,True,5086.3114
171,,5329.282,5335.122,5351.652,5283.092,5324.4,5241.55,5071.2,5362.452,True,5062.8179
172,,5305.142,5306.592,5329.292,5248.162,5303.5,5192.15,5035.3,5362.452,False,5039.8849
173,,5254.302,5309.112,5374.832,5209.682,5278.5,5144.9,5005.025,5374.832,False,4991.5869
174,,5379.472,5317.462,5380.432,5251.212,5245.4,5132.15,4975.5,5380.432,True,5110.4984
175,,5259.412,5353.752,5370.612,5202.592,5214.3,5120.25,4947,5380.432,True,4996.4414
176,,5254.912,5230.552,5288.342,5104.182,5158.7,5094.8,4913.825,5380.432,True,4992.1664
177,,5156.012,5181.422,5194.232,4863.472,5080.8,5066.9,4880.225,5380.432,True,4898.2114
178,,5176.602,5143.592,5186.972,5059.492,5011.3,5032.85,4844.65,5380.432,True,4917.7719
179,,5091.271,5161.872,5162.562,5047.082,5018.9,4994,4815.125,5380.432,True,4836.70745
180,,4862.762,5076.182,5079.322,4835.771,5026.2,4950.9,4786.875,5380.432,True,4619.6239
181,,4839.532,4840.832,4924.302,4665.522,5030.9,4900.85,4772.475,5380.432,False,4597.5554
182,,5174.102,4834.012,5213.182,4831.332,5053,4878.45,4767.9,5380.432,False,4915.3969
183,,5216.172,5181.432,5226.842,5126.862,5054.4,4865.15,4764.925,5380.432,True,4955.3634
184,,5140.802,5198.922,5199.292,5063.152,4969.1,4818.85,4742.95,5380.432,True,4883.7619
185,,4949.112,5099.492,5099.842,4949.112,4875.6,4773.75,4723.4,5380.432,True,4701.6564
186,,4895.922,4951.332,4951.992,4870.602,4770.8,4732.85,4703.55,5380.432,True,4651.1259
187,,4768.692,4840.982,4841.612,4746.032,4703.9,4693.55,4693.025,5380.432,False,4530.2574
188,,4751.572,4754.922,4843.102,4745.212,4675.9,4656.45,4687.975,5380.432,True,4513.9934
189,,4577.642,4731.222,4740.001,4577.642,4668.6,4636.25,4681.175,5380.432,True,4348.7599
190,,4582.062,4575.142,4623.381,4565.062,4671.9,4622.85,4670.725,5380.432,False,4352.9589
191,,4690.751,4617.472,4690.751,4592.051,4694.9,4644.1,4671.75,5380.432,False,4456.21345
192,,4717.961,4700.781,4735.281,4670.171,4683.2,4657.35,4666.575,5380.432,False,4482.06295
193,,4746.711,4718.441,4758.001,4678.852,4637,4664.7,4650.55,5380.432,True,4509.37545
194,,4692.122,4747.421,4748.001,4660.021,4603.9,4667.05,4636.55,5380.432,True,4457.5159
195,,4582.092,4690.532,4690.952,4535.152,4573.8,4673.05,4620.225,5380.432,True,4352.9874
196,,4515.552,4558.402,4559.062,4445.592,4593.3,4674.25,4602.925,5380.432,True,4289.7744
197,,4520.822,4470.092,4546.342,4467.462,4631.5,4692.5,4588.1,5380.432,False,4294.7809
198,,4626.231,4553.332,4700.912,4511.761,4692.4,4719.5,4579.375,5380.432,False,4394.91945
199,,4785.191,4596.841,4785.191,4572.981,4730.2,4726.1,4564.725,5380.432,False,4545.93145
200,,4757.641,4787.741,4795.921,4699.401,4772.3,4718.6,4543.425,5380.432,False,4519.75895
201,,4788.411,4749.891,4818.731,4749.481,4755.2,4699.4,4510.25,5380.432,True,4548.99045
202,,4722.901,4774.331,4797.931,4695.791,4753.5,4675.8,4478.975,5380.432,False,4486.75595
203,,4811.321,4741.861,4839.081,4703.571,4746.6,4636.4,4442.8,5380.432,True,4570.75495
204,,4753.871,4807.591,4810.48,4735.311,4722,4606.05,4410.125,5380.432,True,4516.17745
205,,4682.631,4702.641,4730.431,4618.321,4664.9,4567.4,4368.325,5380.432,False,4448.49945
206,,4764.48,4740.891,4782.041,4693.971,4643.6,4531.6,4330.7,5380.432,True,4526.256
207,,4637.061,4739.811,4740.931,4632.59,4598.1,4483.7,4290.675,5380.432,True,4405.20795
208,,4520.46,4619.161,4620.061,4504.561,4526.2,4439.25,4252.325,5380.432,False,4294.437
209,,4615.03,4521.92,4671.17,4492.6,4490.1,4403.35,4219.975,5380.432,True,4384.2785
210,,4578.68,4596.14,4630.27,4553.9,4469.9,4368.25,4188.5,5380.432,True,4349.746
211,,4355.49,4513.55,4513.77,4335.63,4419.6,4321.1,4150.7,5380.432,True,4137.7155
212,,4439.31,4380.51,4476.0,4379.61,4369.3,4282.15,4117.325,5380.432,True,4217.3445
213,,4432.13,4438.18,4474.351,4385.91,4352.3,4249.2,4086.15,5380.432,True,4210.5235
214,,4394.05,4421.07,4432.021,4361.59,4316.6,4214.2,4049.5,5380.432,True,4174.3475
215,,4249.38,4344.42,4351.69,4231.2,4266.6,4169.25,4009.35,5380.432,True,4036.911
216,,4316.96,4262.14,4332.17,4212.61,4222.6,4129.8,3971.75,5380.432,True,4101.112
217,,4277.45,4295.8,4304.78,4204.83,4195,4097.65,3934.9,5380.432,True,4063.5775
218,,4213.89,4260.04,4260.47,4197.02,4146.1,4065.4,3896.15,5380.432,True,4003.1955
219,,4104.669,4170.54,4170.56,4092.379,4111.8,4036.6,3860.025,5380.432,True,3899.43555
220,,4149.949,4124.779,4156.839,4068.649,4071.9,4008.75,3825.4,5380.432,True,3942.45155
221,,4057.5,4123.899,4139.5,4046.939,4037,3980.3,3794,5380.432,False,3854.625
222,,4138.879,4051.199,4166.02,4037.769,4000.3,3952.5,3764.35,5380.432,True,3931.93505
223,,3999.019,4088.179,4101.649,3999.019,3984.7,3923.1,3737.2,5380.432,True,3799.06805
224,,3957.539,3971.699,3993.029,3932.869,3961.4,3884.8,3712.825,5380.432,True,3759.66205
225,,3921.749,3949.999,3991.999,3892.879,3945.6,3849.45,3692.9,5380.432,True,3725.66155
226,,3961.579,3940.409,3980.719,3913.989,3923.6,3813.7,3673.7,5380.432,False,3763.50005
227,,3980.069,3973.049,3989.859,3883.779,3904.7,3772.15,3650.625,5380.432,True,3781.06555
228,,3923.079,3972.059,3972.299,3922.209,3861.5,3726.9,3628.075,5380.432,True,3726.92505
229,,3852.489,3892.569,3916.859,3832.419,3808.2,3683.45,3604.45,5380.432,True,3659.86455
230,,3851.249,3839.739,3859.129,3809.709,3753.3,3642.05,3583.325,5380.432,True,3658.68655
231,,3769.089,3846.049,3846.049,3763.849,3703.8,3607.7,3563.475,5380.432,True,3580.63455
232,,3733.959,3757.119,3762.569,3716.809,3639.6,3576.2,3542.875,5380.432,True,3547.26105
233,,3641.769,3705.669,3705.739,3621.119,3592.3,3551.3,3525.375,5380.432,True,3459.68055
234,,3604.669,3617.659,3641.389,3594.739,3558.7,3540.85,3507.4,5380.432,True,3424.43555
235,,3557.689,3592.839,3603.339,3536.529,3530.8,3536.35,3492.125,5380.432,True,3379.80455
236,,3524.569,3524.649,3568.919,3512.219,3511.6,3533.7,3480.85,5380.432,True,3348.34055
237,,3523.639,3520.609,3551.209,3511.989,3512.8,3529.1,3474.675,5380.432,True,3347.45705
238,,3449.699,3537.749,3546.709,3417.489,3510.3,3529.25,3470.525,5380.432,True,3277.21405
239,,3501.179,3478.519,3516.239,3472.389,3523,3525.45,3461.35,5380.432,False,3326.12005
240,,3513.249,3496.339,3517.079,3467.679,3541.9,3524.6,3459.15,5380.432,False,3337.58655
241,,3514.669,3530.819,3540.909,3497.169,3555.8,3519.25,3458.4,5380.432,False,3338.93555
242,,3579.309,3507.899,3579.309,3504.199,3545.4,3509.55,3458.125,5380.432,False,3400.34355
243,,3603.449,3601.259,3608.689,3566.529,3548.2,3499.45,3461.475,5380.432,True,3423.27655
244,,3565.229,3572.839,3594.809,3560.459,3527.9,3473.95,3461.825,5380.432,True,3386.96755
245,,3473.709,3566.289,3569.329,3456.869,3507.3,3447.9,3461.75,5380.432,True,3300.02355
246,,3529.549,3478.729,3529.549,3463.959,3482.7,3428,3461.825,5380.432,False,3353.07155
247,,3511.539,3522.319,3536.819,3511.089,3473.7,3420.25,3465.325,5380.432,True,3335.96205
248,,3473.289,3499.479,3504.479,3466.609,3450.7,3411.8,3459.05,5380.432,False,3299.62455
249,,3458.829,3469.829,3509.499,3452.079,3420,3397.25,3451.825,5380.432,True,3285.88755
250,,3435.359,3442.869,3453.579,3405.629,3388.5,3393.7,3460.075,5380.432,True,3263.59105
251,,3415.979,3434.119,3445.659,3412.139,3373.3,3397.55,3468.15,5380.432,True,3245.18005
252,,3345.079,3406.939,3407.179,3339.549,3366.8,3406.7,3471.55,5380.432,True,3177.82505
253,,3305.729,3345.919,3376.529,3298.599,3372.9,3423.5,3476.9,5380.432,True,3140.44255
254,,3352.329,3312.419,3374.049,3285.939,3374.5,3449.7,3485.3,5380.432,False,3184.71255
255,,3487.949,3366.949,3487.949,3366.859,3398.9,3475.6,3497,5380.432,True,3313.55155
256,,3446.139,3401.769,3476.819,3399.559,3421.8,3495.65,3506.625,5380.432,True,3273.83205
257,,3388.599,3437.449,3441.709,3360.719,3446.6,3510.4,3518.725,5380.432,True,3219.16905
258,,3360.189,3353.959,3407.259,3347.079,3474.1,3506.3,3528.9,5380.432,False,3192.17955
259,,3496.889,3434.389,3514.219,3431.939,3524.9,3506.4,3543.275,5380.432,True,3322.04455
260,,3474.919,3481.799,3505.579,3453.899,3552.3,3526.45,3548.25,5380.432,False,3301.17305
261,,3547.239,3525.319,3583.309,3512.389,3569.5,3538.75,3547.05,5380.432,False,3369.87705
262,,3614.039,3574.929,3616.259,3510.019,3574.2,3536.4,3543.55,5380.432,True,3433.33705
263,,3580.119,3607.989,3611.619,3559.379,3538.5,3530.3,3537.075,5380.432,False,3401.11305
264,,3582.089,3571.729,3627.809,3548.629,3487.9,3520.9,3523.45,5380.432,True,3402.98455
265,,3551.049,3567.609,3576.759,3520.049,3500.6,3518.4,3506.4,5380.432,True,3373.49655
266,,3420.489,3548.889,3557.789,3409.429,3508,3517.6,3494.275,5380.432,True,3249.46455
267,,3336.789,3396.219,3419.199,3325.679,3498.6,3527.05,3486.55,5380.432,False,3169.94955
268,,3414.01,3355.159,3497.25,3330.979,3522.1,3551.5,3485.875,5380.432,False,3243.3095
269,,3616.25,3635.149,3662.159,3601.26,3553.9,3580.15,3485.425,5380.432,True,3435.4375
270,,3501.72,3604.12,3604.12,3482.27,3536.2,3570.05,3471.7,5380.432,True,3326.634
271,,3522.91,3502.42,3547.24,3471.56,3527.2,3555.35,3456.65,5380.432,False,3346.7645
272,,3506.449,3514.04,3550.159,3494.77,3555.5,3550.7,3442.425,5380.432,False,3331.12655
273,,3531.509,3513.579,3560.529,3461.319,3580.9,3543.85,3426.375,5380.432,False,3354.93355
274,,3547.569,3546.719,3689.749,3536.399,3606.4,3526,3409.825,5370.612,True,3370.19055
275,,3650.069,3559.259,3659.949,3552.099,3603.9,3494.4,3393.575,5288.342,False,3467.56555
276,,3620.919,3643.789,3671.189,3601.699,3583.5,3470.95,3370.95,5226.842,False,3439.87305
277,,3608.429,3641.059,3683.229,3587.229,3545.9,3446.05,3351.425,5226.842,True,3428.00755
278,,3566.089,3641.539,3669.039,3551.509,3506.8,3420.25,3325.6,5226.842,True,3387.78455
279,,3462.389,3533.709,3542.339,3452.5,3445.6,3390.7,3298.75,5226.842,True,3289.26955
280,,3450.809,3457.549,3491.829,3422.169,3384.9,3373.35,3270.425,5226.842,False,3278.26855
