,avge,count,days,ma,scope,sum
170,380.372007273,55,150,"('ma10', 'ma20')",0.1,20920.4604
196,426.915095918,49,370,"('ma5', 'ma20')",0.1,20918.8397
594,168.665468871,124,100,"('ma5', 'ma10')",0.23,20914.51814
495,168.329937097,124,100,"('ma5', 'ma10')",0.2,20872.9122
88,416.0461136,50,310,"('ma5', 'ma20')",0.07,20802.30568
229,423.730306735,49,370,"('ma5', 'ma20')",0.11,20762.78503
236,377.110898909,55,150,"('ma10', 'ma20')",0.12,20741.09944
226,423.140306531,49,350,"('ma5', 'ma20')",0.11,20733.87502
32,422.745035714,49,370,"('ma10', 'ma20')",0.05,20714.50675
221,406.147310784,51,310,"('ma10', 'ma20')",0.11,20713.51285
127,422.099712653,49,350,"('ma5', 'ma20')",0.08,20682.88592
26,413.116704,50,330,"('ma10', 'ma20')",0.05,20655.8352
128,419.648129796,49,350,"('ma10', 'ma20')",0.08,20562.75836
56,402.543509804,51,310,"('ma10', 'ma20')",0.06,20529.719
103,380.043885926,54,150,"('ma5', 'ma20')",0.08,20522.36984
89,401.45071902,51,310,"('ma10', 'ma20')",0.07,20473.98667
187,408.045458,50,310,"('ma5', 'ma20')",0.1,20402.2729
565,377.278639259,54,150,"('ma5', 'ma20')",0.22,20373.04652
190,414.825344898,49,330,"('ma5', 'ma20')",0.1,20326.4419
561,163.907184032,124,100,"('ma5', 'ma10')",0.22,20324.49082
335,368.127552727,55,150,"('ma10', 'ma20')",0.15,20247.0154
462,162.98358379,124,100,"('ma5', 'ma10')",0.19,20209.96439
66,162.69091629,124,100,"('ma5', 'ma10')",0.07,20173.67362
65,411.002295102,49,370,"('ma10', 'ma20')",0.06,20139.11246
95,410.857034082,49,350,"('ma10', 'ma20')",0.07,20131.99467
203,365.480711455,55,150,"('ma10', 'ma20')",0.11,20101.43913
223,407.925139796,49,330,"('ma5', 'ma20')",0.11,19988.33185
434,363.213658545,55,150,"('ma10', 'ma20')",0.18,19976.75122
158,399.5329006,50,330,"('ma10', 'ma20')",0.09,19976.64503
91,407.283585306,49,330,"('ma5', 'ma20')",0.07,19956.89568
130,405.338657143,49,370,"('ma5', 'ma20')",0.08,19861.5942
137,360.944968182,55,150,"('ma10', 'ma20')",0.09,19851.97325
302,359.589205455,55,150,"('ma10', 'ma20')",0.14,19777.4063
401,359.093611455,55,150,"('ma10', 'ma20')",0.17,19750.14863
59,394.45692,50,330,"('ma10', 'ma20')",0.06,19722.846
136,365.17949,54,150,"('ma5', 'ma20')",0.09,19719.69246
2,344.613297368,57,100,"('ma10', 'ma20')",0.05,19642.95795
220,392.409477,50,310,"('ma5', 'ma20')",0.11,19620.47385
