,date,open,close,high,low,ma5,ma10,ma20,ma60,ma1_crossup_2,ma1_crossdown_2
461,,2179.922,2237.322,2243.972,2178.912,2186.4,2173.15,2152.075,2197.15,2179.922,0.0
462,,2157.982,2185.472,2186.152,2155.282,2168.1,2167.05,2145.1,2197.167,0.0,2185.472
471,,2161.903,2176.552,2186.733,2150.873,2136.2,2131,2147.15,2217.083,2161.903,0.0
472,,2079.873,2158.802,2163.233,2077.762,2129.5,2123.15,2149.05,2218.775,0.0,2158.802
473,,2116.193,2086.973,2134.793,2086.503,2122.4,2124.15,2154.325,2221.675,2116.193,0.0
480,,2092.613,2108.663,2118.792,2088.733,2142.5,2158.35,2213.85,2253.308,0.0,2108.663
481,,2149.682,2097.792,2149.682,2095.072,2157.6,2163.3,2222.7,2259.008,2149.682,0.0
490,,2216.513,2157.913,2225.213,2150.103,2246.6,2269.35,2252.3,2300.058,0.0,2157.913
506,,2233.013,2215.923,2233.233,2211.803,2224.9,2210.25,2234.225,2328.708,2233.013,0.0
519,,2240.643,2241.913,2262.583,2228.423,2266.3,2283.45,2316.45,2371.142,0.0,2241.913
522,,2311.973,2290.783,2314.843,2280.893,2309.2,2296.7,2348.35,2382.642,2311.973,0.0
536,,2388.663,2406.643,2416.263,2386.253,2426.7,2439.1,2426.7,2412.842,0.0,2406.643
544,,2410.692,2442.782,2448.332,2406.662,2430.9,2416.3,2380.275,2406.075,2410.692,0.0
545,,2423.972,2418.792,2464.862,2397.012,2419.9,2413.3,2377.35,2403.933,0.0,2418.792
554,,2427.932,2412.162,2427.932,2405.082,2356.9,2344.25,2364.925,2389.692,2427.932,0.0
562,,2351.872,2340.552,2356.672,2328.252,2368.7,2373.1,2406.825,2386.05,0.0,2340.552
563,,2371.322,2353.572,2383.542,2352.792,2375.3,2379.1,2411.275,2385.275,2371.322,0.0
575,,2431.923,2471.323,2472.783,2423.563,2439.9,2446.55,2441.3,2352.658,0.0,2471.323
580,,2472.272,2472.542,2483.133,2462.552,2453.2,2432.7,2444.5,2339.808,2472.272,0.0
588,,2440.833,2429.033,2455.043,2423.283,2441.1,2463.8,2405.225,2311.442,0.0,2429.033
