date,open,close,high,low,ma5,ma10,ma20,rolling_low,stop_loss,earnings,ma5_up_10,ma_cross_earnings
2015-11-11,3828.448,3833.646,3843.112,3781.41,3801.317,3664.396,3602.641,,3637.0256,-191.4224,,
2015-11-10,3806.669,3833.238,3876.49,3798.821,3760.295,3633.524,3581.264,,3616.33555,-190.33345,,
2015-11-09,3796.379,3840.355,3891.773,3796.379,3686.746,3609.488,3561.854,,3606.56005,-189.81895,,
2015-11-06,3698.342,3793.374,3801.705,3694.657,3613.867,3584.378,3542.221,,3513.4249,-184.9171,,
2015-11-05,3630.782,3705.97,3781.409,3627.301,3562.008,3562.165,3519.558,,3449.2429,-181.5391,,
2015-11-04,3477.159,3628.538,3628.538,3477.159,3527.476,3544.021,3499.084,,3303.30105,-173.85795,,
2015-11-03,3484.722,3465.493,3501.704,3452.62,3506.752,3528.493,3477.804,,3310.4859,-174.2361,,
2015-11-02,3489.225,3475.962,3543.45,3474.712,3532.229,3539.714,3464.677,,3314.76375,-174.46125,,
2015-10-30,3530.223,3534.079,3574.473,3497.568,3554.889,3545.536,3449.822,,3353.71185,-176.51115,,
2015-10-29,3539.978,3533.307,3561.814,3507.966,3562.322,3545.535,3435.255,,3362.9791,-176.9989,,
2015-10-28,3575.805,3524.92,3598.172,3517.21,3560.567,3540.885,3420.188,,3397.01475,-178.79025,,
2015-10-27,3569.449,3592.879,3601.053,3486.102,3550.234,3529.005,3408.192,,3390.97655,-178.47245,,
2015-10-26,3614.702,3589.261,3620.756,3561.192,3547.199,3514.221,3391.699,,3433.9669,-180.7351,,
2015-10-23,3536.843,3571.241,3581.836,3515.822,3536.183,3500.064,3379.188,,3360.00085,-176.84215,,
2015-10-22,3453.201,3524.534,3530.766,3442.307,3528.748,3476.952,3366.038,,3280.54095,-172.66005,,
2015-10-21,3580.838,3473.254,3601.243,3417.412,3521.204,3454.147,3352.375,,3401.7961,-179.0419,,
2015-10-20,3527.875,3577.703,3577.798,3510.437,3507.775,3427.116,3340.562,,3351.48125,-176.39375,,
2015-10-19,3548.953,3534.182,3572.995,3502.505,3481.243,3389.64,3327.139,,3371.50535,-177.44765,,
2015-10-16,3508.518,3534.065,3537.539,3487.104,3463.946,3354.108,3308.042,,3333.0921,-175.4259,,
2015-10-15,3403.389,3486.815,3486.815,3402.316,3425.156,3324.976,3295.395,,3233.21955,-170.16945,,
2015-10-14,3431.135,3406.112,3458.702,3403.231,3387.089,3299.49,3288.414,,3259.57825,-171.55675,,
2015-10-13,3422.477,3445.043,3452.045,3413.967,3346.456,3287.379,3285.986,,3251.35315,-171.12385,True,-171.12384999999995
2015-10-12,3351.139,3447.693,3486.631,3347.251,3298.037,3269.177,3283.699,,3183.58205,-167.55695,,
2015-10-09,3302.36,3340.116,3352.379,3293.965,3244.27,3258.311,3278.016,,3137.242,-165.118,,
2015-10-08,3324.981,3296.482,3337.331,3294.605,3224.797,3255.124,3273.534,,3158.73195,-166.24905,,
2015-10-07,3195.901,3202.948,3223.908,3186.767,3211.891,3250.603,3277.002,,3036.10595,-159.79505,,
2015-09-30,3195.901,3202.948,3223.908,3186.767,3228.301,3254.008,3284.959,,3036.10595,-159.79505,,
2015-09-29,3197.221,3178.854,3208.417,3159.042,3240.317,3264.638,3293.138,,3037.35995,-159.86105,,
2015-09-28,3226.607,3242.752,3246.554,3186.507,3272.352,3261.976,3301.31,,3065.27665,-161.33035,,
2015-09-25,3272.665,3231.951,3290.858,3201.914,3285.451,3265.814,3299.454,,3109.03175,-163.63325,,
2015-09-24,3278.896,3284.999,3300.857,3255.902,3289.315,3277.338,3289.141,,3114.9512,-163.9448,,
2015-09-23,3290.071,3263.028,3315.935,3253.333,3279.715,3284.594,3277.037,,3125.56745,-164.50355,True,-164.50355000000036
2015-09-22,3312.366,3339.03,3371.414,3303.184,3288.959,3298.222,3277.663,,3146.7477,-165.6183,,
2015-09-21,3222.603,3308.247,3312.55,3211.934,3251.6,3297.721,3290.188,,3061.47285,-161.13015,,
2015-09-18,3254.443,3251.273,3280.877,3227.834,3246.177,3291.945,3312.848,,3091.72085,-162.72215,,
2015-09-17,3287.657,3236.999,3354.905,3236.999,3265.36,3303.401,3344.591,,3123.27415,-164.38285,,
2015-09-16,3149.158,3309.248,3345.918,3131.37,3289.472,3315.909,3374.012,,2991.7001,-157.4579,,
2015-09-15,3208.744,3152.232,3240.079,3131.98,3307.484,3321.638,3412.443,,3048.3068,-160.4372,,
2015-09-14,3367.642,3281.132,3373.921,3187.566,3343.842,3340.643,3458.509,,3199.2599,-168.3821,,
2015-09-11,3349.877,3347.188,3383.134,3315.478,3337.712,3333.094,3498.225,,3182.38315,-167.49385,,
2015-09-10,3349.281,3357.561,3398.316,3337.311,3341.441,3300.944,3531.672,,3181.81695,-167.46405,,
2015-09-09,3344.824,3399.305,3426.651,3330.29,3342.346,3269.481,3567.127,,3177.5828,-167.2412,,
2015-09-08,3221.789,3334.023,3340.219,3170.807,3335.792,3257.104,3601.38,,3060.69955,-161.08945,,
2015-09-07,3347.293,3250.485,3422.225,3240.243,3337.444,3282.655,3630.027,,3179.92835,-167.36465,,
2015-09-02,3220.851,3365.832,3387.02,3213.637,3328.475,3333.752,3659.095,,3059.80845,-161.04255,,
2015-09-01,3296.529,3362.083,3370.504,3190.578,3260.447,3385.782,3684.148,,3131.70255,-164.82645,,
2015-08-31,3307.396,3366.536,3368.279,3205.537,3196.616,3432.115,3713.452,,3142.0262,-165.3698,,
2015-08-28,3246.236,3342.286,3353.244,3223.622,3178.415,3503.249,3736.587,,3083.9242,-162.3118,,
2015-08-27,3092.812,3205.638,3206.724,3028.398,3227.865,3576.374,3760.308,,2938.1714,-154.6406,,
2015-08-26,3062.566,3025.692,3192.932,2952.008,3339.029,3663.357,3790.796,,2909.4377,-153.1283,,
2015-08-25,3070.007,3042.927,3200.108,3019.556,3511.117,3762.4,3836.031,,2916.50665,-153.50035,,
2015-08-24,3454.598,3275.534,3468.149,3266.55,3667.614,3864.774,3874.439,,3281.8681,-172.7299,,
2015-08-21,3714.289,3589.536,3757.779,3578.175,3828.082,3945.657,3901.599,,3528.57455,-185.71445,,
2015-08-20,3848.403,3761.454,3880.824,3761.454,3924.883,3977.398,3930.936,,3655.98285,-192.42015,,
2015-08-19,3748.266,3886.136,3898.74,3668.192,3987.685,3984.438,3955.403,,3560.8527,-187.4133,,
2015-08-18,4084.311,3825.412,4103.054,3816.554,4013.683,3982.514,3968.955,,3880.09545,-204.21555,,
2015-08-17,4058.113,4077.872,4081.772,4009.99,4061.934,3994.789,3985.984,,3855.20735,-202.90565,,
2015-08-14,4097.918,4073.54,4113.159,4056.727,4063.233,3969.925,3990.121,,3893.0221,-204.8959,True,-204.89589999999998
2015-08-13,4010.013,4075.463,4075.7,3967.821,4029.914,3944.241,3994.019,,3809.51235,-200.50065,,
2015-08-12,4025.674,4016.126,4078.03,4015.355,3981.191,3918.236,3990.114,,3824.3903,-201.2837,,
2015-08-11,4083.589,4066.669,4110.133,4042.004,3951.346,3909.661,3987.645,,3879.40955,-204.17945,,
2015-08-10,3947.472,4084.365,4101.731,3932.842,3927.643,3884.104,3989.919,,3750.0984,-197.3736,,
2015-08-07,3866.43,3906.945,3926.649,3857.908,3876.617,3857.54,3996.292,,3673.1085,-193.3215,,
2015-08-06,3802.928,3831.852,3888.693,3793.237,3858.568,3884.474,4006.272,,3612.7816,-190.1464,,
2015-08-05,3937.623,3866.9,3962.277,3858.66,3855.28,3926.369,4009.561,,3740.74185,-196.88115,,
2015-08-04,3827.373,3948.155,3948.449,3801.028,3867.976,3955.395,3999.368,,3636.00435,-191.36865,,
2015-08-03,3766.072,3829.235,3829.235,3742.578,3840.564,3977.18,3998.36,,3577.7684,-188.3036,,
2015-07-31,3777.155,3816.699,3863.624,3757.989,3838.463,4010.318,4006.825,,3588.29725,-188.85775,,
2015-07-30,3915.78,3815.412,3968.534,3802.882,3910.379,4043.797,4010.286,,3719.991,-195.789,,
2015-07-29,3839.959,3930.379,3934.003,3769.189,3997.457,4061.992,4024.915,,3647.96105,-191.99795,,
2015-07-28,3690.974,3811.093,3883.446,3627.421,4042.814,4065.63,4041.048,,3506.4253,-184.5487,,
2015-07-27,4097.796,3818.731,4156.313,3817.169,4113.796,4095.735,4074.143,,3892.9062,-204.8898,,
2015-07-24,4255.198,4176.279,4299.65,4154.617,4182.172,4135.043,4092.784,,4042.4381,-212.7599,,
2015-07-23,4158.932,4250.805,4262.062,4148.824,4177.216,4128.071,4100.78,,3950.9854,-207.9466,True,-207.94660000000022
2015-07-22,4148.56,4157.16,4187.431,4094.712,4126.526,4092.753,4123.565,,3941.132,-207.428,,
2015-07-21,4109.761,4166.006,4201.482,4081.704,4088.446,4043.341,4159.713,,3904.27295,-205.48805,,
2015-07-20,4157.06,4160.612,4221.693,4106.389,4077.674,4019.541,4190.718,,3949.207,-207.853,,
2015-07-17,4023.757,4151.496,4190.186,4000.231,4087.914,4003.333,4214.54,,3822.56915,-201.18785,,
2015-07-16,3949.639,3997.356,4067.022,3856.321,4078.926,3976.775,4253.492,2839.29,3752.15705,-197.48195,,
2015-07-15,4068.88,3966.759,4114.243,3899.508,4058.98,3987.839,4310.566,2839.29,3865.436,-203.444,,
2015-07-14,4178.63,4112.149,4258.513,4062.5,3998.236,4016.466,4365.469,2839.29,3969.6985,-208.9315,,
2015-07-13,4132.231,4211.812,4278.161,4072.43,3961.407,4052.55,4420.92,2839.29,3925.61945,-206.61155,,
2015-07-10,3916.272,4106.556,4179.111,3887.551,3918.752,4050.524,4477.085,2839.29,3720.4584,-195.8136,,
2015-07-09,3621.68,3897.626,3930.264,3537.826,3874.624,4073.488,4537.087,2839.29,3440.596,-181.084,,
2015-07-08,3651.06,3663.038,3762.622,3612.254,3916.698,4154.377,4607.661,2839.29,3468.507,-182.553,,
2015-07-07,3877.854,3928.003,3960.636,3743.624,4034.695,4276.086,4690.382,2839.29,3683.9613,-193.8927,,
2015-07-06,4218.266,3998.537,4218.266,3832.468,4143.694,4361.895,4761.67,2839.29,4007.3527,-210.9133,,
2015-07-03,4017.202,3885.917,4164.629,3785.902,4182.296,4425.746,4823.271,2839.29,3816.3419,-200.8601,,
2015-07-02,4287.734,4107.996,4312.19,4000.061,4272.352,4530.209,4888.045,2839.29,4073.3473,-214.3867,,
2015-07-01,4408.984,4253.021,4526.127,4235.696,4392.056,4633.293,4939.825,2839.29,4188.5348,-220.4492,,
2015-06-30,4161.067,4472.998,4475.767,4016.013,4517.477,4714.473,4985.268,2839.29,3953.01365,-208.05335,,
2015-06-29,4446.842,4191.549,4451.166,4000.926,4580.095,4789.29,5015.427,2839.29,4224.4999,-222.3421,,
2015-06-26,4573.872,4336.195,4650.186,4278.675,4669.196,4903.646,5047.891,2839.29,4345.1784,-228.6936,,
2015-06-25,4906.242,4706.516,4919.263,4667.224,4788.067,5000.686,5072.781,2839.29,4660.9299,-245.3121,,
2015-06-24,4811.595,4880.126,4883.732,4744.306,4874.53,5060.945,5096.527,2839.29,4571.01525,-240.57975,,
2015-06-23,4641.425,4786.091,4786.955,4455.33,4911.469,5104.679,5112.467,2839.29,4409.35375,-232.07125,,
2015-06-19,4847.057,4637.052,4910.45,4634.691,4998.484,5161.445,5128.137,2934.647,4604.70415,-242.35285,,
2015-06-18,5107.695,4930.549,5121.218,4926.429,5138.097,5220.795,5143.851,2952.008,4852.31025,-255.38475,,
2015-06-17,5072.306,5138.831,5158.367,4949.293,5213.305,5245.882,5139.372,2952.008,4818.6907,-253.6153,,
2015-06-16,5165.025,5064.821,5204.303,5015.265,5247.361,5246.358,5120.177,2952.008,4906.77375,-258.25125,,
2015-06-15,5354.014,5221.167,5362.452,5207.308,5297.889,5256.062,5103.497,2952.008,5086.3133,-267.7007,,
2015-06-12,5329.278,5335.115,5351.648,5283.086,5324.406,5241.564,5071.196,2952.008,5062.8141,-266.4639,,
2015-06-11,5305.141,5306.59,5329.295,5248.163,5303.493,5192.135,5035.313,2952.008,5039.88395,-265.25705,,
2015-06-10,5254.304,5309.112,5374.83,5209.68,5278.458,5144.877,5005.023,2952.008,4991.5888,-262.7152,,
2015-06-09,5379.47,5317.461,5380.426,5251.208,5245.354,5132.109,4975.489,2952.008,5110.4965,-268.9735,,
2015-06-08,5259.408,5353.751,5370.609,5202.595,5214.236,5120.255,4946.987,2952.008,4996.4376,-262.9704,,
2015-06-05,5254.905,5230.552,5288.34,5104.178,5158.721,5094.829,4913.826,2952.008,4992.15975,-262.74525,,
2015-06-04,5156.012,5181.416,5194.233,4863.465,5080.777,5066.907,4880.219,2952.008,4898.2114,-257.8006,,
2015-06-03,5176.597,5143.59,5186.967,5059.495,5011.295,5032.863,4844.652,2952.008,4917.76715,-258.82985,,
2015-06-02,5091.272,5161.87,5162.556,5047.081,5018.864,4993.996,4815.139,2952.008,4836.7084,-254.5636,,
2015-06-01,4862.756,5076.179,5079.319,4835.774,5026.273,4950.931,4786.887,2952.008,4619.6182,-243.1378,,
2015-05-29,4839.53,4840.829,4924.303,4665.521,5030.937,4900.828,4772.466,2952.008,4597.5535,-241.9765,,
2015-05-28,5174.101,4834.007,5213.183,4831.329,5053.038,4878.492,4767.918,2952.008,4915.39595,-258.70505,,
2015-05-27,5216.17,5181.434,5226.844,5126.861,5054.432,4865.169,4764.934,2952.008,4955.3615,-260.8085,,
2015-05-26,5140.798,5198.918,5199.295,5063.146,4969.129,4818.869,4742.956,2952.008,4883.7581,-257.0399,,
2015-05-25,4949.11,5099.495,5099.839,4949.11,4875.589,4773.719,4723.389,2952.008,4701.6545,-247.4555,,
2015-05-22,4895.925,4951.335,4951.991,4870.598,4770.718,4732.823,4703.547,2952.008,4651.12875,-244.79625,True,-244.79625000000033
2015-05-21,4768.689,4840.976,4841.615,4746.029,4703.945,4693.53,4693.025,2952.008,4530.25455,-238.43445,,
2015-05-20,4751.572,4754.919,4843.1,4745.21,4675.906,4656.441,4687.966,2952.008,4513.9934,-237.5786,,
2015-05-19,4577.637,4731.222,4740.005,4577.637,4668.609,4636.282,4681.179,2952.008,4348.75515,-228.88185,,
2015-05-18,4582.058,4575.14,4623.383,4565.061,4671.849,4622.843,4670.714,2952.008,4352.9551,-229.1029,,
2015-05-15,4690.755,4617.47,4690.755,4592.05,4694.927,4644.103,4671.763,2952.008,4456.21725,-234.53775,True,-234.53775000000041
2015-05-14,4717.955,4700.778,4735.284,4670.168,4683.114,4657.345,4666.567,2952.008,4482.05725,-235.89775,,
2015-05-13,4746.713,4718.436,4758.002,4678.845,4636.976,4664.7,4650.554,2952.008,4509.37735,-237.33565,,
2015-05-12,4692.122,4747.421,4748.004,4660.016,4603.955,4667.042,4636.541,2952.008,4457.5159,-234.6061,,
2015-05-11,4582.091,4690.532,4690.954,4535.149,4573.838,4673.059,4620.224,2952.008,4352.98645,-229.10455,,
2015-05-08,4515.554,4558.404,4559.058,4445.592,4593.28,4674.27,4602.918,2952.008,4289.7763,-225.7777,,
2015-05-07,4520.818,4470.089,4546.338,4467.459,4631.576,4692.519,4588.105,2952.008,4294.7771,-226.0409,,
2015-05-06,4626.231,4553.327,4700.909,4511.761,4692.423,4719.492,4579.39,2952.008,4394.91945,-231.31155,,
2015-05-05,4785.192,4596.837,4785.192,4572.983,4730.13,4726.075,4564.726,2952.008,4545.9324,-239.2596,,
2015-05-04,4757.637,4787.741,4795.915,4699.398,4772.281,4718.584,4543.411,2952.008,4519.75515,-237.88185,,
2015-04-30,4788.412,4749.886,4818.725,4749.485,4755.261,4699.423,4510.263,2952.008,4548.9914,-239.4206,,
2015-04-29,4722.903,4774.326,4797.927,4695.793,4753.462,4675.789,4478.964,2952.008,4486.75785,-236.14515,,
2015-04-28,4811.319,4741.861,4839.078,4703.567,4746.56,4636.408,4442.807,2952.008,4570.75305,-240.56595,,
2015-04-27,4753.871,4807.592,4810.485,4735.31,4722.021,4606.04,4410.123,2952.008,4516.17745,-237.69355,,
2015-04-24,4682.626,4702.641,4730.43,4618.318,4664.886,4567.388,4368.329,2952.008,4448.4947,-234.1313,,
2015-04-23,4764.481,4740.892,4782.044,4693.967,4643.585,4531.566,4330.696,2952.008,4526.25695,-238.22405,,
2015-04-22,4637.055,4739.814,4740.933,4632.589,4598.116,4483.69,4290.672,2952.008,4405.20225,-231.85275,,
2015-04-21,4520.461,4619.164,4620.058,4504.558,4526.256,4439.289,4252.334,2952.008,4294.43795,-226.02305,,
