,avge,avge2,count,days,ma,scope,sum,sum2
117,191.337237745,209.418492218,1632,340,ma5,0.05,312262.372,341770.9793
118,215.509292016,238.742641001,2267,340,ma10,0.05,488559.565,541229.56715
119,213.146632518,226.334757198,2577,340,ma20,0.05,549278.872,583264.6693
120,143.443194135,156.446997666,1705,150,ma5,0.06,244570.646,266742.13102
121,143.140922657,164.41459356,2379,150,ma10,0.06,340532.255,391142.31808
122,148.991956458,169.725889668,2710,150,ma20,0.06,403768.202,459957.161
123,147.810783451,162.747521127,1704,160,ma5,0.06,251869.575,277321.776
124,148.994925568,169.545276863,2378,160,ma10,0.06,354309.933,403178.66838
125,157.751527306,177.53250597,2710,160,ma20,0.06,427506.639,481113.09118
126,153.97668662,168.205745,1704,170,ma5,0.06,262376.274,286622.58948
127,156.08086291,177.463022321,2378,170,ma10,0.06,371160.292,422007.06708
128,170.571815061,187.523358169,2709,170,ma20,0.06,462079.047,508000.77728
129,165.391881176,175.432508082,1700,180,ma5,0.06,281166.198,298235.26374
130,171.526497468,188.880310447,2370,180,ma10,0.06,406517.799,447646.33576
131,187.231304557,197.376993146,2699,180,ma20,0.06,505337.291,532720.5045
132,182.306521251,188.052557544,1694,190,ma5,0.06,308827.247,318561.03248
133,186.679531951,202.920538942,2363,190,ma10,0.06,441123.734,479501.23352
134,197.476529346,209.653192273,2692,190,ma20,0.06,531606.817,564386.3936
135,186.041134752,196.561063712,1692,200,ma5,0.06,314781.6,332581.3198
136,188.445384583,212.101688395,2361,200,ma10,0.06,444919.553,500772.0863
137,199.308524358,219.068687594,2689,200,ma20,0.06,535940.622,589075.70094
138,194.996688204,207.94912933,1687,210,ma5,0.06,328959.413,350810.18118
139,202.696213526,226.66674946,2351,210,ma10,0.06,476538.798,532893.52798
140,211.485212393,230.034596991,2679,210,ma20,0.06,566568.884,616262.68534
141,194.200292683,210.253969352,1681,220,ma5,0.06,326450.692,353436.92248
142,209.41765314,234.464630466,2341,220,ma10,0.06,490246.726,548881.69992
143,223.153419633,238.367638809,2669,220,ma20,0.06,595596.477,636203.22798
144,202.768218974,220.095867124,1676,230,ma5,0.06,339839.535,368880.6733
145,223.032531103,247.073688631,2331,230,ma10,0.06,519888.83,575928.7682
146,233.640132381,248.136496284,2659,230,ma20,0.06,621249.112,659794.94362
147,212.260919113,228.609033265,1669,240,ma5,0.06,354263.474,381548.47652
148,233.466619089,255.898575993,2326,240,ma10,0.06,543043.356,595220.08776
149,242.87444566,257.086212,2650,240,ma20,0.06,643617.281,681278.4618
150,213.380122744,233.916991288,1662,250,ma5,0.06,354637.764,388770.03952
151,234.754175151,260.936450708,2318,250,ma10,0.06,544160.178,604850.69274
152,241.696844234,260.915607176,2645,250,ma20,0.06,639288.153,690121.78098
153,214.978251054,236.154644323,1661,260,ma5,0.06,357078.875,392252.86422
154,229.80545384,259.340424012,2318,260,ma10,0.06,532689.042,601151.10286
155,235.789457845,257.330505898,2645,260,ma20,0.06,623663.116,680639.1881
156,211.338590223,234.22491936,1657,270,ma5,0.06,350188.044,388110.69138
157,227.455280035,260.461653682,2314,270,ma10,0.06,526331.518,602708.26662
158,231.903620167,257.793247908,2638,270,ma20,0.06,611761.75,680058.58798
159,209.017065336,231.991831168,1653,280,ma5,0.06,345505.209,383482.49692
160,222.180841352,258.328588149,2307,280,ma10,0.06,512571.201,595964.05286
161,225.387385084,255.192257169,2628,280,ma20,0.06,592318.048,670645.25184
162,204.863366889,229.599294785,1649,290,ma5,0.06,337819.692,378609.2371
163,217.735043062,254.439062558,2299,290,ma10,0.06,500572.864,584955.40482
164,221.499561497,249.740241711,2618,290,ma20,0.06,579885.852,653819.9528
165,204.458301944,225.282997315,1646,300,ma5,0.06,336538.365,370815.81358
166,217.023802706,247.78975904,2291,300,ma10,0.06,497201.532,567686.33796
167,220.91795092,242.792206258,2608,300,ma20,0.06,576154.016,633202.07392
168,202.299334146,216.308960439,1640,310,ma5,0.06,331770.908,354746.69512
169,220.359066521,240.865954363,2285,310,ma10,0.06,503520.467,550378.70572
170,222.943838722,237.602424896,2598,310,ma20,0.06,579208.093,617291.09988
171,201.449252902,214.877430898,1637,320,ma5,0.06,329772.427,351754.35438
172,225.427212308,242.876182637,2275,320,ma10,0.06,512846.908,552543.3155
173,224.337046754,235.55469796,2588,320,ma20,0.06,580584.277,609615.55832
174,200.288262094,215.497431819,1633,330,ma5,0.06,327070.732,351907.30616
175,227.285965654,244.516858538,2271,330,ma10,0.06,516166.428,555297.78574
176,225.901856093,235.322853292,2585,330,ma20,0.06,583956.298,608309.57576
177,191.337237745,212.792260748,1632,340,ma5,0.06,312262.372,347276.96954
178,215.509292016,240.017011875,2267,340,ma10,0.06,488559.565,544118.56592
179,213.146632518,229.772735204,2577,340,ma20,0.06,549278.872,592124.33862
180,143.443194135,155.554308563,1705,150,ma5,0.07,244570.646,265220.0961
181,143.140922657,166.391815511,2379,150,ma10,0.07,340532.255,395846.1291
182,148.991956458,171.883775052,2710,150,ma20,0.07,403768.202,465805.03039
183,147.810783451,163.145459795,1704,160,ma5,0.07,251869.575,277999.86349
184,148.994925568,172.587957254,2378,160,ma10,0.07,354309.933,410414.16235
185,157.751527306,180.417897055,2710,160,ma20,0.07,427506.639,488932.50102
186,153.97668662,168.755381813,1704,170,ma5,0.07,262376.274,287559.17061
187,156.08086291,180.783834647,2378,170,ma10,0.07,371160.292,429903.95879
188,170.571815061,191.119256309,2709,170,ma20,0.07,462079.047,517742.06534
189,165.391881176,176.422595265,1700,180,ma5,0.07,281166.198,299918.41195
190,171.526497468,192.306147097,2370,180,ma10,0.07,406517.799,455765.56862
191,187.231304557,201.109732975,2699,180,ma20,0.07,505337.291,542795.1693
192,182.306521251,189.193967745,1694,190,ma5,0.07,308827.247,320494.58136
193,186.679531951,205.950403673,2363,190,ma10,0.07,441123.734,486660.80388
194,197.476529346,212.737777578,2692,190,ma20,0.07,531606.817,572690.09724
195,186.041134752,198.359389255,1692,200,ma5,0.07,314781.6,335624.08662
196,188.445384583,215.768869187,2361,200,ma10,0.07,444919.553,509430.30015
197,199.308524358,222.721810974,2689,200,ma20,0.07,535940.622,598898.94971
198,194.996688204,209.983333746,1687,210,ma5,0.07,328959.413,354241.88403
199,202.696213526,231.012125462,2351,210,ma10,0.07,476538.798,543109.50696
200,211.485212393,234.323058992,2679,210,ma20,0.07,566568.884,627751.47504
201,194.200292683,213.451557454,1681,220,ma5,0.07,326450.692,358812.06808
202,209.41765314,240.122703029,2341,220,ma10,0.07,490246.726,562127.24779
203,223.153419633,243.675351225,2669,220,ma20,0.07,595596.477,650369.51242
204,202.768218974,222.687195012,1676,230,ma5,0.07,339839.535,373223.73884
205,223.032531103,252.731465517,2331,230,ma10,0.07,519888.83,589117.04612
206,233.640132381,253.591422753,2659,230,ma20,0.07,621249.112,674299.5931
207,212.260919113,232.319151084,1669,240,ma5,0.07,354263.474,387740.66316
208,233.466619089,263.138437949,2326,240,ma10,0.07,543043.356,612060.00667
209,242.87444566,264.048653789,2650,240,ma20,0.07,643617.281,699728.93254
210,213.380122744,238.103990584,1662,250,ma5,0.07,354637.764,395728.83235
211,234.754175151,268.542298257,2318,250,ma10,0.07,544160.178,622481.04736
212,241.696844234,267.968927917,2645,250,ma20,0.07,639288.153,708777.81434
213,214.978251054,238.707852613,1661,260,ma5,0.07,357078.875,396493.74319
214,229.80545384,265.015390548,2318,260,ma10,0.07,532689.042,614305.67529
215,235.789457845,263.01266324,2645,260,ma20,0.07,623663.116,695668.49427
216,211.338590223,237.303194538,1657,270,ma5,0.07,350188.044,393211.39335
217,227.455280035,266.422447818,2314,270,ma10,0.07,526331.518,616501.54425
218,231.903620167,263.444969742,2638,270,ma20,0.07,611761.75,694967.83018
219,209.017065336,236.035022414,1653,280,ma5,0.07,345505.209,390165.89205
220,222.180841352,264.512725366,2307,280,ma10,0.07,512571.201,610230.85742
221,225.387385084,261.126760738,2628,280,ma20,0.07,592318.048,686241.12722
222,204.863366889,234.378697532,1649,290,ma5,0.07,337819.692,386490.47223
223,217.735043062,261.066910239,2299,290,ma10,0.07,500572.864,600192.82664
224,221.499561497,256.442263663,2618,290,ma20,0.07,579885.852,671365.84627
225,204.458301944,229.465587819,1646,300,ma5,0.07,336538.365,377700.35755
226,217.023802706,253.948685373,2291,300,ma10,0.07,497201.532,581796.43819
227,220.91795092,249.361105905,2608,300,ma20,0.07,576154.016,650333.7642
228,202.299334146,221.333411927,1640,310,ma5,0.07,331770.908,362986.79556
229,220.359066521,248.786337597,2285,310,ma10,0.07,503520.467,568476.78141
230,222.943838722,245.788386139,2598,310,ma20,0.07,579208.093,638558.22719
231,201.449252902,220.928424288,1637,320,ma5,0.07,329772.427,361659.83056
232,225.427212308,252.624202378,2275,320,ma10,0.07,512846.908,574720.06041
233,224.337046754,245.13664495,2588,320,ma20,0.07,580584.277,634413.63713
234,200.288262094,221.916313637,1633,330,ma5,0.07,327070.732,362389.34017
235,227.285965654,254.698865478,2271,330,ma10,0.07,516166.428,578421.1235
236,225.901856093,245.685361168,2585,330,ma20,0.07,583956.298,635096.65862
237,191.337237745,217.19909329,1632,340,ma5,0.07,312262.372,354468.92025
238,215.509292016,248.441629281,2267,340,ma10,0.07,488559.565,563217.17358
239,213.146632518,238.786083298,2577,340,ma20,0.07,549278.872,615351.73666
240,143.443194135,154.259456164,1705,150,ma5,0.08,244570.646,263012.37276
241,143.140922657,164.134780715,2379,150,ma10,0.08,340532.255,390476.64332
242,148.991956458,171.861990745,2710,150,ma20,0.08,403768.202,465745.99492
243,147.810783451,161.401036878,1704,160,ma5,0.08,251869.575,275027.36684
244,148.994925568,169.804715778,2378,160,ma10,0.08,354309.933,403795.61412
245,157.751527306,179.717088443,2710,160,ma20,0.08,427506.639,487033.30968
246,153.97668662,166.504289648,1704,170,ma5,0.08,262376.274,283723.30956
247,156.08086291,177.376978015,2378,170,ma10,0.08,371160.292,421802.45372
248,170.571815061,190.734522377,2709,170,ma20,0.08,462079.047,516699.82112
